  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.00000E+03  vis= 8.90000E-04  sp_ht= 4.18200E+03
     prc(je)=    6.900
  initial profiles: kstart=  1  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0000E+03    Prandtl number=    6.900
   U,mean = 8.9000E-03            d,h = 1.0000E-01
   viscom = 8.9000E-04            rhom  = 1.0000E+03

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 0.000E+00 5.179E+00  0.000E+00  0.000E+00

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     1 0.000E+00 8.900E-03 0.000E+00 1.000E+00 0.000E+00
     2 1.921E-03 8.900E-03 3.841E-02 1.000E+00 0.000E+00
     3 3.944E-03 8.900E-03 7.888E-02 1.000E+00 0.000E+00
     4 6.248E-03 8.900E-03 1.250E-01 1.000E+00 0.000E+00
     5 8.712E-03 8.900E-03 1.742E-01 1.000E+00 0.000E+00
     6 1.119E-02 8.900E-03 2.238E-01 1.000E+00 0.000E+00
     7 1.368E-02 8.900E-03 2.736E-01 1.000E+00 0.000E+00
     8 1.617E-02 8.900E-03 3.234E-01 1.000E+00 0.000E+00
     9 1.866E-02 8.900E-03 3.733E-01 1.000E+00 0.000E+00
    10 2.113E-02 8.900E-03 4.227E-01 1.000E+00 0.000E+00
    11 2.351E-02 8.900E-03 4.702E-01 1.000E+00 0.000E+00
    12 2.571E-02 8.900E-03 5.143E-01 1.000E+00 0.000E+00
    13 2.774E-02 8.900E-03 5.548E-01 1.000E+00 0.000E+00
    14 2.960E-02 8.900E-03 5.920E-01 1.000E+00 0.000E+00
    15 3.130E-02 8.900E-03 6.261E-01 1.000E+00 0.000E+00
    16 3.287E-02 8.900E-03 6.574E-01 1.000E+00 0.000E+00
    17 3.431E-02 8.900E-03 6.861E-01 1.000E+00 0.000E+00
    18 3.562E-02 8.900E-03 7.125E-01 1.000E+00 0.000E+00
    19 3.683E-02 8.900E-03 7.367E-01 1.000E+00 0.000E+00
    20 3.794E-02 8.900E-03 7.589E-01 1.000E+00 0.000E+00
    21 3.896E-02 8.900E-03 7.792E-01 1.000E+00 0.000E+00
    22 3.990E-02 8.900E-03 7.979E-01 1.000E+00 0.000E+00
    23 4.075E-02 8.900E-03 8.150E-01 1.000E+00 0.000E+00
    24 4.154E-02 8.900E-03 8.308E-01 1.000E+00 0.000E+00
    25 4.226E-02 8.900E-03 8.452E-01 1.000E+00 0.000E+00
    26 4.292E-02 8.900E-03 8.584E-01 1.000E+00 0.000E+00
    27 4.353E-02 8.900E-03 8.706E-01 1.000E+00 0.000E+00
    28 4.409E-02 8.900E-03 8.817E-01 1.000E+00 0.000E+00
    29 4.460E-02 8.900E-03 8.919E-01 1.000E+00 0.000E+00
    30 4.507E-02 8.900E-03 9.013E-01 1.000E+00 0.000E+00
    31 4.550E-02 8.900E-03 9.099E-01 1.000E+00 0.000E+00
    32 4.589E-02 8.900E-03 9.178E-01 1.000E+00 0.000E+00
    33 4.625E-02 8.900E-03 9.251E-01 1.000E+00 0.000E+00
    34 4.659E-02 8.900E-03 9.317E-01 1.000E+00 0.000E+00
    35 4.689E-02 8.900E-03 9.378E-01 1.000E+00 0.000E+00
    36 4.717E-02 8.900E-03 9.434E-01 1.000E+00 0.000E+00
    37 4.743E-02 8.900E-03 9.485E-01 1.000E+00 0.000E+00
    38 4.766E-02 8.900E-03 9.532E-01 1.000E+00 0.000E+00
    39 4.788E-02 8.900E-03 9.576E-01 1.000E+00 0.000E+00
    40 4.808E-02 8.900E-03 9.615E-01 1.000E+00 0.000E+00
    41 4.826E-02 8.900E-03 9.652E-01 1.000E+00 0.000E+00
    42 4.842E-02 8.900E-03 9.685E-01 1.000E+00 0.000E+00
    43 4.858E-02 8.900E-03 9.716E-01 1.000E+00 0.000E+00
    44 4.872E-02 8.900E-03 9.744E-01 1.000E+00 0.000E+00
    45 4.885E-02 8.900E-03 9.769E-01 1.000E+00 0.000E+00
    46 4.897E-02 8.900E-03 9.793E-01 1.000E+00 0.000E+00
    47 4.907E-02 8.900E-03 9.815E-01 1.000E+00 0.000E+00
    48 4.917E-02 8.900E-03 9.835E-01 1.000E+00 0.000E+00
    49 4.926E-02 8.900E-03 9.853E-01 1.000E+00 0.000E+00
    50 4.935E-02 8.900E-03 9.870E-01 1.000E+00 0.000E+00
    51 4.942E-02 8.900E-03 9.885E-01 1.000E+00 0.000E+00
    52 4.950E-02 8.900E-03 9.899E-01 1.000E+00 0.000E+00
    53 4.956E-02 8.900E-03 9.912E-01 1.000E+00 0.000E+00
    54 4.962E-02 8.900E-03 9.924E-01 1.000E+00 0.000E+00
    55 4.967E-02 8.900E-03 9.935E-01 1.000E+00 0.000E+00
    56 4.972E-02 8.900E-03 9.945E-01 1.000E+00 0.000E+00
    57 4.977E-02 8.900E-03 9.954E-01 1.000E+00 0.000E+00
    58 4.981E-02 8.900E-03 9.962E-01 1.000E+00 0.000E+00
    59 4.985E-02 8.900E-03 9.970E-01 1.000E+00 0.000E+00
    60 4.988E-02 8.900E-03 9.977E-01 1.000E+00 0.000E+00
    61 4.992E-02 8.900E-03 9.983E-01 1.000E+00 0.000E+00
    62 4.995E-02 8.900E-03 9.989E-01 1.000E+00 0.000E+00
    63 4.998E-02 8.900E-03 9.996E-01 1.000E+00 0.000E+00
    64 5.000E-02 0.000E+00 1.000E+00 0.000E+00 0.000E+00

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
   70 3.500E-01 1.832E-01 0.000E+00 2.465E-02  0.000E+00  0.000E+00

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     1 0.000E+00 9.981E-03 0.000E+00 1.121E+00 -2.84E-13
     2 1.814E-03 9.981E-03 3.627E-02 1.121E+00 -2.84E-13
     3 3.724E-03 9.981E-03 7.449E-02 1.121E+00 3.979E-13
     4 5.900E-03 9.981E-03 1.180E-01 1.121E+00 1.592E-12
     5 8.226E-03 9.981E-03 1.645E-01 1.121E+00 3.411E-13
     6 1.057E-02 9.981E-03 2.114E-01 1.121E+00 4.547E-13
     7 1.292E-02 9.981E-03 2.583E-01 1.121E+00 2.274E-13
     8 1.527E-02 9.981E-03 3.054E-01 1.121E+00 -5.68E-14
     9 1.762E-02 9.981E-03 3.525E-01 1.121E+00 1.023E-12
    10 1.996E-02 9.981E-03 3.991E-01 1.121E+00 4.547E-13
    11 2.220E-02 9.981E-03 4.440E-01 1.121E+00 1.194E-12
    12 2.428E-02 9.981E-03 4.856E-01 1.121E+00 1.705E-12
