  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.17660E+00  vis= 1.85300E-05  sp_ht= 1.00500E+03
     prc(je)=     .711
  initial profiles: kstart=  2  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0005E+03    Prandtl number=     .711
   U,mean = 1.5757E-01            d,h = 1.0000E-01
   viscom = 1.8530E-05            rhom  = 1.1766E+00

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    5 2.500E-02 1.598E-02 0.000E+00 7.992E-03  0.000E+00  3.344E+01
   10 5.000E-02 1.598E-02 0.000E+00 7.992E-03  0.000E+00  2.573E+01
   20 1.000E-01 1.598E-02 0.000E+00 7.992E-03  0.000E+00  2.005E+01
   30 1.500E-01 1.598E-02 0.000E+00 7.992E-03  0.000E+00  1.737E+01
   40 2.000E-01 1.598E-02 0.000E+00 7.992E-03  0.000E+00  1.571E+01
   50 2.500E-01 1.598E-02 0.000E+00 7.992E-03  0.000E+00  1.453E+01
   60 3.000E-01 1.598E-02 0.000E+00 7.992E-03  0.000E+00  1.364E+01
   70 3.500E-01 1.598E-02 0.000E+00 7.992E-03  0.000E+00  1.293E+01
   80 4.047E-01 1.603E-02 0.000E+00 7.992E-03  0.000E+00  1.230E+01
   90 4.715E-01 1.606E-02 0.000E+00 7.992E-03  0.000E+00  1.167E+01
  100 5.528E-01 1.610E-02 0.000E+00 7.992E-03  0.000E+00  1.106E+01
  110 6.520E-01 1.613E-02 0.000E+00 7.992E-03  0.000E+00  1.045E+01
  120 7.729E-01 1.616E-02 0.000E+00 7.992E-03  0.000E+00  9.868E+00
  130 9.203E-01 1.618E-02 0.000E+00 7.992E-03  0.000E+00  9.305E+00
  140 1.100E+00 1.620E-02 0.000E+00 7.992E-03  0.000E+00  8.767E+00
  150 1.319E+00 1.622E-02 0.000E+00 7.992E-03  0.000E+00  8.254E+00
  160 1.586E+00 1.623E-02 0.000E+00 7.992E-03  0.000E+00  7.769E+00
  170 1.911E+00 1.624E-02 0.000E+00 7.992E-03  0.000E+00  7.312E+00
  180 2.308E+00 1.625E-02 0.000E+00 7.992E-03  0.000E+00  6.882E+00
  190 2.791E+00 1.626E-02 0.000E+00 7.992E-03  0.000E+00  6.481E+00
  200 3.381E+00 1.627E-02 0.000E+00 7.992E-03  0.000E+00  6.108E+00
  210 4.086E+00 1.627E-02 0.000E+00 7.992E-03  0.000E+00  5.767E+00
  220 4.962E+00 1.628E-02 0.000E+00 7.992E-03  0.000E+00  5.447E+00
  230 6.029E+00 1.628E-02 0.000E+00 7.992E-03  0.000E+00  5.154E+00
  240 7.331E+00 1.629E-02 0.000E+00 7.992E-03  0.000E+00  4.888E+00
  250 8.917E+00 1.629E-02 0.000E+00 7.992E-03  0.000E+00  4.648E+00
  260 1.082E+01 1.629E-02 0.000E+00 7.992E-03  0.000E+00  4.437E+00
  270 1.318E+01 1.629E-02 0.000E+00 7.992E-03  0.000E+00  4.249E+00
  280 1.605E+01 1.629E-02 0.000E+00 7.993E-03  0.000E+00  4.088E+00
  290 1.955E+01 1.630E-02 0.000E+00 7.993E-03  0.000E+00  3.954E+00
  300 2.382E+01 1.630E-02 0.000E+00 7.993E-03  0.000E+00  3.849E+00
  310 2.878E+01 1.626E-02 0.000E+00 7.993E-03  0.000E+00  3.774E+00
  320 3.378E+01 1.622E-02 0.000E+00 7.993E-03  0.000E+00  3.728E+00
  330 3.878E+01 1.619E-02 0.000E+00 7.994E-03  0.000E+00  3.701E+00
  340 4.378E+01 1.616E-02 0.000E+00 7.994E-03  0.000E+00  3.684E+00
  350 4.878E+01 1.615E-02 0.000E+00 7.994E-03  0.000E+00  3.674E+00
  360 5.350E+01 1.613E-02 0.000E+00 7.994E-03  0.000E+00  3.669E+00
  370 5.850E+01 1.612E-02 0.000E+00 7.994E-03  0.000E+00  3.665E+00
  380 6.350E+01 1.611E-02 0.000E+00 7.994E-03  0.000E+00  3.663E+00
  390 6.850E+01 1.610E-02 0.000E+00 7.994E-03  0.000E+00  3.661E+00
  400 7.350E+01 1.609E-02 0.000E+00 7.994E-03  0.000E+00  3.660E+00
  410 7.850E+01 1.609E-02 0.000E+00 7.994E-03  0.000E+00  3.660E+00
  420 8.350E+01 1.608E-02 0.000E+00 7.994E-03  0.000E+00  3.660E+00
  430 8.850E+01 1.607E-02 0.000E+00 7.994E-03  0.000E+00  3.659E+00
  440 9.350E+01 1.607E-02 0.000E+00 7.994E-03  0.000E+00  3.659E+00
  450 9.850E+01 1.607E-02 0.000E+00 7.994E-03  0.000E+00  3.659E+00
  460 1.035E+02 1.606E-02 0.000E+00 7.994E-03  0.000E+00  3.659E+00
  463 1.050E+02 1.606E-02 0.000E+00 7.994E-03  0.000E+00  3.659E+00
