   s31.dat, lam, pipe, CEF, q"s(x)                                         
   constant props, csubp =  1005.00
   for the E-wall, kwall=2
        intg  x/dh           htc         umean       nu
           5  2.5000001E-02  8.7595E+00  1.5757E-01  3.3443E+01
          20  1.0000002E-01  5.2503E+00  1.5757E-01  2.0045E+01
          40  2.0000005E-01  4.1138E+00  1.5757E-01  1.5706E+01
          60  3.0000006E-01  3.5728E+00  1.5757E-01  1.3641E+01
          80  4.0474849E-01  3.2218E+00  1.5757E-01  1.2301E+01
         100  5.5284040E-01  2.8957E+00  1.5757E-01  1.1056E+01
         120  7.7289678E-01  2.5847E+00  1.5757E-01  9.8681E+00
         140  1.0998885E+00  2.2962E+00  1.5757E-01  8.7669E+00
         160  1.5857824E+00  2.0349E+00  1.5757E-01  7.7691E+00
         180  2.3077931E+00  1.8026E+00  1.5757E-01  6.8822E+00
         200  3.3806621E+00  1.5997E+00  1.5757E-01  6.1076E+00
         220  4.9616877E+00  1.4268E+00  1.5757E-01  5.4473E+00
         240  7.3306267E+00  1.2802E+00  1.5757E-01  4.8879E+00
         260  1.0819724E+01  1.1621E+00  1.5757E-01  4.4369E+00
         280  1.6050429E+01  1.0707E+00  1.5757E-01  4.0877E+00
         300  2.3822974E+01  1.0081E+00  1.5757E-01  3.8490E+00
         320  3.3777707E+01  9.7652E-01  1.5757E-01  3.7283E+00
         340  4.3777705E+01  9.6500E-01  1.5757E-01  3.6843E+00
         360  5.3500015E+01  9.6088E-01  1.5757E-01  3.6686E+00
         380  6.3499990E+01  9.5931E-01  1.5757E-01  3.6626E+00
         400  7.3500026E+01  9.5874E-01  1.5757E-01  3.6604E+00
         420  8.3500025E+01  9.5853E-01  1.5757E-01  3.6596E+00
         440  9.3500028E+01  9.5846E-01  1.5757E-01  3.6593E+00
         460  1.0350003E+02  9.5843E-01  1.5757E-01  3.6592E+00
         463  1.0500000E+02  9.5842E-01  1.5757E-01  3.6592E+00
