   s31.dat, lam, pipe, CEF, q"s(x)                                         
   constant props, csubp =  1005.00
   for the E-wall, kwall=2
        intg  x/dh           htc         qflux       tm          ts
           5  2.5000001E-02  8.7595E+00  8.7016E+02  3.0066E+02  4.0000E+02
          20  1.0000002E-01  5.2503E+00  5.1627E+02  3.0167E+02  4.0000E+02
          40  2.0000005E-01  4.1138E+00  4.0057E+02  3.0263E+02  4.0000E+02
          60  3.0000006E-01  3.5728E+00  3.4507E+02  3.0342E+02  4.0000E+02
          80  4.0474849E-01  3.2218E+00  3.0882E+02  3.0415E+02  4.0000E+02
         100  5.5284040E-01  2.8957E+00  2.7489E+02  3.0507E+02  4.0000E+02
         120  7.7289678E-01  2.5847E+00  2.4223E+02  3.0628E+02  4.0000E+02
         140  1.0998885E+00  2.2962E+00  2.1157E+02  3.0786E+02  4.0000E+02
         160  1.5857824E+00  2.0349E+00  1.8334E+02  3.0990E+02  4.0000E+02
         180  2.3077931E+00  1.8026E+00  1.5769E+02  3.1252E+02  4.0000E+02
         200  3.3806621E+00  1.5997E+00  1.3462E+02  3.1585E+02  4.0000E+02
         220  4.9616877E+00  1.4268E+00  1.1411E+02  3.2002E+02  4.0000E+02
         240  7.3306267E+00  1.2802E+00  9.5641E+01  3.2529E+02  4.0000E+02
         260  1.0819724E+01  1.1621E+00  7.9298E+01  3.3176E+02  4.0000E+02
         280  1.6050429E+01  1.0707E+00  6.4530E+01  3.3973E+02  4.0000E+02
         300  2.3822974E+01  1.0081E+00  5.1175E+01  3.4924E+02  4.0000E+02
         320  3.3777707E+01  9.7652E-01  4.0172E+01  3.5886E+02  4.0000E+02
         340  4.3777705E+01  9.6500E-01  3.2273E+01  3.6656E+02  4.0000E+02
         360  5.3500015E+01  9.6088E-01  2.6313E+01  3.7262E+02  4.0000E+02
         380  6.3499990E+01  9.5931E-01  2.1400E+01  3.7769E+02  4.0000E+02
         400  7.3500026E+01  9.5874E-01  1.7427E+01  3.8182E+02  4.0000E+02
         420  8.3500025E+01  9.5853E-01  1.4197E+01  3.8519E+02  4.0000E+02
         440  9.3500028E+01  9.5846E-01  1.1568E+01  3.8793E+02  4.0000E+02
         460  1.0350003E+02  9.5843E-01  9.4262E+00  3.9016E+02  4.0000E+02
         463  1.0500000E+02  9.5842E-01  9.1411E+00  3.9046E+02  4.0000E+02
