   s31.dat, lam, pipe, CEF, q"s(x)                                         
    x/dh           tauw(I)    tauw(E)    cf2(I)     cf2(E)     delp
    2.5000001E-02  0.000E+00  2.335E-04  0.000E+00  7.992E-03  2.3345E-05
    1.0000002E-01  0.000E+00  2.335E-04  0.000E+00  7.992E-03  9.3379E-05
    2.0000005E-01  0.000E+00  2.335E-04  0.000E+00  7.992E-03  1.8675E-04
    3.0000006E-01  0.000E+00  2.335E-04  0.000E+00  7.992E-03  2.8012E-04
    4.0474849E-01  0.000E+00  2.335E-04  0.000E+00  7.992E-03  3.7894E-04
    5.5284040E-01  0.000E+00  2.335E-04  0.000E+00  7.992E-03  5.1998E-04
    7.7289678E-01  0.000E+00  2.335E-04  0.000E+00  7.992E-03  7.2955E-04
    1.0998885E+00  0.000E+00  2.335E-04  0.000E+00  7.992E-03  1.0409E-03
    1.5857824E+00  0.000E+00  2.335E-04  0.000E+00  7.992E-03  1.5037E-03
    2.3077931E+00  0.000E+00  2.335E-04  0.000E+00  7.992E-03  2.1912E-03
    3.3806621E+00  0.000E+00  2.335E-04  0.000E+00  7.992E-03  3.2129E-03
    4.9616877E+00  0.000E+00  2.335E-04  0.000E+00  7.992E-03  4.7187E-03
    7.3306267E+00  0.000E+00  2.335E-04  0.000E+00  7.992E-03  6.9746E-03
    1.0819724E+01  0.000E+00  2.335E-04  0.000E+00  7.992E-03  1.0298E-02
    1.6050429E+01  0.000E+00  2.335E-04  0.000E+00  7.993E-03  1.5279E-02
    2.3822974E+01  0.000E+00  2.335E-04  0.000E+00  7.993E-03  2.2683E-02
    3.3777707E+01  0.000E+00  2.335E-04  0.000E+00  7.993E-03  3.2002E-02
    4.3777705E+01  0.000E+00  2.335E-04  0.000E+00  7.994E-03  4.1342E-02
    5.3500015E+01  0.000E+00  2.335E-04  0.000E+00  7.994E-03  5.0423E-02
    6.3499990E+01  0.000E+00  2.335E-04  0.000E+00  7.994E-03  5.9763E-02
    7.3500026E+01  0.000E+00  2.335E-04  0.000E+00  7.994E-03  6.9104E-02
    8.3500025E+01  0.000E+00  2.335E-04  0.000E+00  7.994E-03  7.8445E-02
    9.3500028E+01  0.000E+00  2.335E-04  0.000E+00  7.994E-03  8.7785E-02
    1.0350003E+02  0.000E+00  2.335E-04  0.000E+00  7.994E-03  9.7126E-02
    1.0500000E+02  0.000E+00  2.335E-04  0.000E+00  7.994E-03  9.8527E-02
