  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.17660E+00  vis= 1.85300E-05  sp_ht= 1.00500E+03
     prc(je)=     .711
  initial profiles: kstart=  2  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0005E+03    Prandtl number=     .711
   U,mean = 1.5757E-01            d,h = 1.0000E-01
   viscom = 1.8530E-05            rhom  = 1.1766E+00

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 0.000E+00 7.992E-03  0.000E+00  3.682E+03

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     1 0.000E+00 3.150E-01 0.000E+00 1.999E+00 1.000E+00
     2 1.921E-03 3.147E-01 3.841E-02 1.998E+00 1.000E+00
     3 3.944E-03 3.132E-01 7.888E-02 1.987E+00 1.000E+00
     4 6.248E-03 3.103E-01 1.250E-01 1.969E+00 1.000E+00
     5 8.712E-03 3.056E-01 1.742E-01 1.940E+00 1.000E+00
     6 1.119E-02 2.994E-01 2.238E-01 1.900E+00 1.000E+00
     7 1.368E-02 2.916E-01 2.736E-01 1.851E+00 1.000E+00
     8 1.617E-02 2.822E-01 3.234E-01 1.791E+00 1.000E+00
     9 1.866E-02 2.713E-01 3.733E-01 1.722E+00 1.000E+00
    10 2.113E-02 2.589E-01 4.227E-01 1.643E+00 1.000E+00
    11 2.351E-02 2.455E-01 4.702E-01 1.558E+00 1.000E+00
    12 2.571E-02 2.318E-01 5.143E-01 1.471E+00 1.000E+00
    13 2.774E-02 2.181E-01 5.548E-01 1.384E+00 1.000E+00
    14 2.960E-02 2.047E-01 5.920E-01 1.299E+00 1.000E+00
    15 3.130E-02 1.916E-01 6.261E-01 1.216E+00 1.000E+00
    16 3.287E-02 1.789E-01 6.574E-01 1.136E+00 1.000E+00
    17 3.431E-02 1.668E-01 6.861E-01 1.058E+00 1.000E+00
    18 3.562E-02 1.551E-01 7.125E-01 9.846E-01 1.000E+00
    19 3.683E-02 1.441E-01 7.367E-01 9.145E-01 1.000E+00
    20 3.794E-02 1.336E-01 7.589E-01 8.481E-01 1.000E+00
    21 3.896E-02 1.238E-01 7.792E-01 7.854E-01 1.000E+00
    22 3.990E-02 1.145E-01 7.979E-01 7.265E-01 1.000E+00
    23 4.075E-02 1.058E-01 8.150E-01 6.712E-01 1.000E+00
    24 4.154E-02 9.760E-02 8.308E-01 6.195E-01 1.000E+00
