   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    2.0031939E-01 6.390E-03 1.500E+01 7.249E-04 1.469E+00 6.118E-04
    2.0527160E-01 6.483E-03 1.500E+01 7.373E-04 1.466E+00 6.274E-04
    2.2187142E-01 6.804E-03 1.500E+01 7.786E-04 1.462E+00 6.795E-04
    2.3927138E-01 7.126E-03 1.500E+01 8.213E-04 1.459E+00 7.329E-04
    2.5748707E-01 7.458E-03 1.500E+01 8.652E-04 1.457E+00 7.875E-04
    2.7655793E-01 7.807E-03 1.500E+01 9.103E-04 1.454E+00 8.432E-04
    2.9651727E-01 8.170E-03 1.500E+01 9.567E-04 1.451E+00 9.003E-04
    3.1740128E-01 8.547E-03 1.500E+01 1.005E-03 1.447E+00 9.589E-04
    3.3924724E-01 8.940E-03 1.500E+01 1.054E-03 1.444E+00 1.019E-03
    3.6209245E-01 9.347E-03 1.500E+01 1.105E-03 1.441E+00 1.081E-03
    3.8597431E-01 9.769E-03 1.500E+01 1.157E-03 1.437E+00 1.144E-03
    4.1093056E-01 1.021E-02 1.500E+01 1.211E-03 1.434E+00 1.210E-03
    4.3699934E-01 1.066E-02 1.500E+01 1.267E-03 1.431E+00 1.277E-03
    4.6421921E-01 1.113E-02 1.500E+01 1.325E-03 1.428E+00 1.346E-03
    4.9262930E-01 1.161E-02 1.500E+01 1.384E-03 1.425E+00 1.417E-03
    5.2227355E-01 1.212E-02 1.500E+01 1.445E-03 1.422E+00 1.490E-03
    5.5319580E-01 1.264E-02 1.500E+01 1.509E-03 1.419E+00 1.565E-03
    5.8543773E-01 1.317E-02 1.500E+01 1.574E-03 1.416E+00 1.643E-03
    6.1904165E-01 1.373E-02 1.500E+01 1.641E-03 1.413E+00 1.723E-03
    6.5405060E-01 1.430E-02 1.500E+01 1.710E-03 1.411E+00 1.805E-03
    6.9050835E-01 1.488E-02 1.500E+01 1.781E-03 1.408E+00 1.889E-03
    7.2845945E-01 1.549E-02 1.500E+01 1.855E-03 1.406E+00 1.976E-03
    7.6794926E-01 1.612E-02 1.500E+01 1.931E-03 1.403E+00 2.065E-03
    8.0902396E-01 1.676E-02 1.500E+01 2.009E-03 1.401E+00 2.157E-03
    8.5173059E-01 1.742E-02 1.500E+01 2.089E-03 1.399E+00 2.251E-03
    8.9611706E-01 1.810E-02 1.500E+01 2.172E-03 1.397E+00 2.348E-03
    9.4223218E-01 1.881E-02 1.500E+01 2.257E-03 1.395E+00 2.448E-03
    9.9012567E-01 1.953E-02 1.500E+01 2.344E-03 1.393E+00 2.551E-03
    1.0398482E+00 2.027E-02 1.500E+01 2.434E-03 1.391E+00 2.656E-03
    1.0914513E+00 2.103E-02 1.500E+01 2.527E-03 1.389E+00 2.765E-03
    1.1449876E+00 2.182E-02 1.500E+01 2.622E-03 1.387E+00 2.876E-03
    1.2005107E+00 2.262E-02 1.500E+01 2.720E-03 1.386E+00 2.990E-03
    1.2580750E+00 2.345E-02 1.500E+01 2.820E-03 1.384E+00 3.107E-03
    1.3177362E+00 2.430E-02 1.500E+01 2.923E-03 1.383E+00 3.228E-03
    1.3795508E+00 2.517E-02 1.500E+01 3.029E-03 1.381E+00 3.352E-03
    1.4435764E+00 2.607E-02 1.500E+01 3.138E-03 1.380E+00 3.478E-03
    1.5098718E+00 2.699E-02 1.500E+01 3.250E-03 1.378E+00 3.609E-03
    1.5784966E+00 2.793E-02 1.500E+01 3.365E-03 1.377E+00 3.742E-03
    1.6495117E+00 2.890E-02 1.500E+01 3.483E-03 1.375E+00 3.879E-03
    1.7229790E+00 2.990E-02 1.500E+01 3.604E-03 1.374E+00 4.020E-03
    1.7989615E+00 3.091E-02 1.500E+01 3.728E-03 1.373E+00 4.164E-03
    1.8775234E+00 3.196E-02 1.500E+01 3.855E-03 1.372E+00 4.312E-03
    1.9587301E+00 3.303E-02 1.500E+01 3.986E-03 1.371E+00 4.463E-03
    2.0426478E+00 3.413E-02 1.500E+01 4.120E-03 1.369E+00 4.618E-03
    2.1293443E+00 3.525E-02 1.500E+01 4.257E-03 1.368E+00 4.777E-03
    2.2188882E+00 3.641E-02 1.500E+01 4.398E-03 1.367E+00 4.940E-03
    2.3113497E+00 3.759E-02 1.500E+01 4.542E-03 1.366E+00 5.107E-03
    2.4068000E+00 3.880E-02 1.500E+01 4.690E-03 1.365E+00 5.278E-03
    2.5053113E+00 4.004E-02 1.500E+01 4.841E-03 1.364E+00 5.454E-03
    2.6069572E+00 4.131E-02 1.500E+01 4.996E-03 1.364E+00 5.633E-03
    2.7118124E+00 4.261E-02 1.500E+01 5.155E-03 1.363E+00 5.817E-03
    2.8199531E+00 4.394E-02 1.500E+01 5.317E-03 1.362E+00 6.004E-03
    2.9314563E+00 4.530E-02 1.500E+01 5.484E-03 1.361E+00 6.197E-03
    3.0000000E+00 4.613E-02 1.500E+01 5.585E-03 1.361E+00 6.314E-03
