   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 2.0031939E-01 2.0202333E+05 6.9633E+02 2.496E-03 5.877E+02 3.149E-03 4.497E+02
 2.0527160E-01 2.0678020E+05 7.0821E+02 2.498E-03 6.027E+02 3.151E-03 4.607E+02
 2.2187142E-01 2.2272524E+05 7.4791E+02 2.474E-03 6.527E+02 3.109E-03 4.896E+02
 2.3927138E-01 2.3943886E+05 7.8890E+02 2.430E-03 7.040E+02 3.032E-03 5.133E+02
 2.5748707E-01 2.5693603E+05 8.3104E+02 2.386E-03 7.564E+02 2.958E-03 5.372E+02
 2.7655793E-01 2.7525463E+05 8.7438E+02 2.345E-03 8.100E+02 2.891E-03 5.626E+02
 2.9651727E-01 2.9442669E+05 9.1899E+02 2.308E-03 8.648E+02 2.831E-03 5.893E+02
 3.1740128E-01 3.1448692E+05 9.6495E+02 2.273E-03 9.211E+02 2.777E-03 6.173E+02
 3.3924724E-01 3.3547117E+05 1.0123E+03 2.241E-03 9.788E+02 2.726E-03 6.466E+02
 3.6209245E-01 3.5741524E+05 1.0612E+03 2.210E-03 1.038E+03 2.680E-03 6.772E+02
 3.8597431E-01 3.8035508E+05 1.1116E+03 2.181E-03 1.099E+03 2.636E-03 7.089E+02
 4.1093056E-01 4.0432694E+05 1.1636E+03 2.154E-03 1.162E+03 2.595E-03 7.418E+02
 4.3699934E-01 4.2936743E+05 1.2172E+03 2.127E-03 1.226E+03 2.556E-03 7.759E+02
 4.6421921E-01 4.5551361E+05 1.2725E+03 2.102E-03 1.293E+03 2.519E-03 8.112E+02
 4.9262930E-01 4.8280306E+05 1.3295E+03 2.077E-03 1.361E+03 2.484E-03 8.478E+02
 5.2227355E-01 5.1127799E+05 1.3884E+03 2.054E-03 1.431E+03 2.450E-03 8.856E+02
 5.5319580E-01 5.4098052E+05 1.4490E+03 2.031E-03 1.504E+03 2.418E-03 9.247E+02
 5.8543773E-01 5.7195066E+05 1.5116E+03 2.009E-03 1.578E+03 2.387E-03 9.651E+02
 6.1904165E-01 6.0422907E+05 1.5761E+03 1.987E-03 1.655E+03 2.357E-03 1.007E+03
 6.5405060E-01 6.3785709E+05 1.6426E+03 1.966E-03 1.733E+03 2.328E-03 1.050E+03
 6.9050835E-01 6.7287676E+05 1.7111E+03 1.946E-03 1.814E+03 2.301E-03 1.094E+03
 7.2845945E-01 7.0933088E+05 1.7817E+03 1.926E-03 1.898E+03 2.274E-03 1.140E+03
 7.6794926E-01 7.4726301E+05 1.8545E+03 1.907E-03 1.984E+03 2.248E-03 1.188E+03
