   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  2.0031939E-01  5.5868E+01  1.5000E+01  3.1487E-03
          50  2.0527160E-01  5.5913E+01  1.5000E+01  3.1512E-03
         100  2.2187142E-01  5.5164E+01  1.5000E+01  3.1090E-03
         150  2.3927138E-01  5.3799E+01  1.5000E+01  3.0321E-03
         200  2.5748707E-01  5.2476E+01  1.5000E+01  2.9575E-03
         250  2.7655793E-01  5.1291E+01  1.5000E+01  2.8908E-03
         300  2.9651727E-01  5.0231E+01  1.5000E+01  2.8310E-03
         350  3.1740128E-01  4.9265E+01  1.5000E+01  2.7766E-03
         400  3.3924724E-01  4.8375E+01  1.5000E+01  2.7264E-03
         450  3.6209245E-01  4.7547E+01  1.5000E+01  2.6797E-03
         500  3.8597431E-01  4.6772E+01  1.5000E+01  2.6360E-03
         550  4.1093056E-01  4.6041E+01  1.5000E+01  2.5949E-03
         600  4.3699934E-01  4.5350E+01  1.5000E+01  2.5559E-03
         650  4.6421921E-01  4.4694E+01  1.5000E+01  2.5189E-03
         700  4.9262930E-01  4.4069E+01  1.5000E+01  2.4837E-03
         750  5.2227355E-01  4.3471E+01  1.5000E+01  2.4500E-03
         800  5.5319580E-01  4.2898E+01  1.5000E+01  2.4177E-03
         850  5.8543773E-01  4.2348E+01  1.5000E+01  2.3867E-03
         900  6.1904165E-01  4.1819E+01  1.5000E+01  2.3569E-03
         950  6.5405060E-01  4.1310E+01  1.5000E+01  2.3282E-03
        1000  6.9050835E-01  4.0819E+01  1.5000E+01  2.3005E-03
        1050  7.2845945E-01  4.0345E+01  1.5000E+01  2.2738E-03
        1100  7.6794926E-01  3.9886E+01  1.5000E+01  2.2480E-03
        1150  8.0902396E-01  3.9442E+01  1.5000E+01  2.2229E-03
        1200  8.5173059E-01  3.9012E+01  1.5000E+01  2.1987E-03
        1250  8.9611706E-01  3.8595E+01  1.5000E+01  2.1752E-03
        1300  9.4223218E-01  3.8190E+01  1.5000E+01  2.1523E-03
        1350  9.9012567E-01  3.7796E+01  1.5000E+01  2.1302E-03
        1400  1.0398482E+00  3.7413E+01  1.5000E+01  2.1086E-03
        1450  1.0914513E+00  3.7041E+01  1.5000E+01  2.0876E-03
        1500  1.1449876E+00  3.6678E+01  1.5000E+01  2.0671E-03
        1550  1.2005107E+00  3.6324E+01  1.5000E+01  2.0472E-03
        1600  1.2580750E+00  3.5980E+01  1.5000E+01  2.0278E-03
        1650  1.3177362E+00  3.5644E+01  1.5000E+01  2.0089E-03
        1700  1.3795508E+00  3.5316E+01  1.5000E+01  1.9904E-03
        1750  1.4435764E+00  3.4996E+01  1.5000E+01  1.9724E-03
        1800  1.5098718E+00  3.4683E+01  1.5000E+01  1.9547E-03
        1850  1.5784966E+00  3.4378E+01  1.5000E+01  1.9375E-03
        1900  1.6495117E+00  3.4079E+01  1.5000E+01  1.9207E-03
        1950  1.7229790E+00  3.3787E+01  1.5000E+01  1.9042E-03
        2000  1.7989615E+00  3.3502E+01  1.5000E+01  1.8881E-03
        2050  1.8775234E+00  3.3222E+01  1.5000E+01  1.8724E-03
        2100  1.9587301E+00  3.2949E+01  1.5000E+01  1.8570E-03
        2150  2.0426478E+00  3.2681E+01  1.5000E+01  1.8419E-03
        2200  2.1293443E+00  3.2418E+01  1.5000E+01  1.8271E-03
        2250  2.2188882E+00  3.2160E+01  1.5000E+01  1.8125E-03
        2300  2.3113497E+00  3.1907E+01  1.5000E+01  1.7983E-03
        2350  2.4068000E+00  3.1659E+01  1.5000E+01  1.7843E-03
        2400  2.5053113E+00  3.1415E+01  1.5000E+01  1.7705E-03
        2450  2.6069572E+00  3.1176E+01  1.5000E+01  1.7570E-03
        2500  2.7118124E+00  3.0941E+01  1.5000E+01  1.7438E-03
        2550  2.8199531E+00  3.0711E+01  1.5000E+01  1.7308E-03
        2600  2.9314563E+00  3.0485E+01  1.5000E+01  1.7181E-03
        2630  3.0000000E+00  3.0351E+01  1.5000E+01  1.7106E-03
