  ====================================================
  TEXSTAN(academic)
  s200_5.dat, turb ml, flat plate, Ts(x)                                  
  stepsize: constant, dx=  .005
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 7.84500E+02  vis= 3.16000E-04  sp_ht= 2.14000E+03
     prc(je)=    2.190
  initial profiles: kstart=  3  dyi= 1.000E-01  rate=  .0900
  turbulence model information:
     m-l: k=0.41, al=fn(0.085,rem), a+=fn(25,p+,vo+)
     transition model: not used
     vapp=    .00  tuapp=   .0  epsapp= 0.000E+00
     turbulent prandtl number model: Kays variable prt
     y-grid being controlled to limit yplus(2) <=   .20
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 9.0000E-01  gxx=-1.0000E-02
  Stanton number and htc based on (ts-tinf)
  ====================================================
   Turbulent flat plate flow benchmark
   cf/2,theo = 0.0125*rem**(-0.25)                                     
   st,theo = Hollingsworth correlation                                 
  ====================================================

  intg rex       rem       cf2       st        cfrat strat h12   reh
     5 5.727E+05 1.595E+03 2.026E-03 1.198E-03 1.024  .997 1.389 1.942E+03
   250 5.902E+05 1.630E+03 2.027E-03 1.199E-03 1.030 1.000 1.387 1.963E+03
   500 6.083E+05 1.667E+03 2.021E-03 1.197E-03 1.033 1.000 1.387 1.984E+03
   750 6.268E+05 1.704E+03 2.009E-03 1.196E-03 1.033 1.001 1.387 2.006E+03
  1000 6.457E+05 1.742E+03 1.995E-03 1.194E-03 1.031 1.003 1.387 2.029E+03
  1250 6.648E+05 1.780E+03 1.980E-03 1.194E-03 1.029 1.004 1.387 2.052E+03
  1500 6.844E+05 1.818E+03 1.966E-03 1.193E-03 1.027 1.005 1.388 2.075E+03
  1750 7.043E+05 1.857E+03 1.952E-03 1.192E-03 1.025 1.007 1.388 2.099E+03
  2000 7.245E+05 1.897E+03 1.938E-03 1.191E-03 1.023 1.008 1.388 2.123E+03
  2250 7.451E+05 1.937E+03 1.924E-03 1.189E-03 1.021 1.009 1.388 2.148E+03
  2500 7.661E+05 1.977E+03 1.911E-03 1.188E-03 1.020 1.011 1.388 2.173E+03
  2750 7.875E+05 2.018E+03 1.899E-03 1.187E-03 1.018 1.012 1.388 2.198E+03
  3000 8.093E+05 2.059E+03 1.887E-03 1.185E-03 1.017 1.013 1.387 2.224E+03
  3250 8.314E+05 2.101E+03 1.875E-03 1.184E-03 1.016 1.014 1.387 2.250E+03
  3500 8.540E+05 2.143E+03 1.864E-03 1.182E-03 1.015 1.015 1.387 2.277E+03
  3750 8.770E+05 2.185E+03 1.853E-03 1.181E-03 1.014 1.016 1.386 2.304E+03
  4000 9.004E+05 2.229E+03 1.842E-03 1.179E-03 1.013 1.017 1.386 2.331E+03
  4250 9.242E+05 2.272E+03 1.832E-03 1.177E-03 1.012 1.018 1.386 2.360E+03
  4500 9.485E+05 2.317E+03 1.822E-03 1.176E-03 1.011 1.019 1.385 2.388E+03
  4750 9.732E+05 2.362E+03 1.812E-03 1.174E-03 1.011 1.019 1.385 2.417E+03
  5000 9.983E+05 2.407E+03 1.803E-03 1.172E-03 1.010 1.020 1.384 2.447E+03
  5250 1.024E+06 2.453E+03 1.793E-03 1.170E-03 1.010 1.021 1.384 2.477E+03
  5500 1.050E+06 2.500E+03 1.784E-03 1.168E-03 1.009 1.022 1.383 2.507E+03
  5750 1.076E+06 2.547E+03 1.775E-03 1.166E-03 1.009 1.022 1.383 2.538E+03
  6000 1.103E+06 2.595E+03 1.766E-03 1.164E-03 1.008 1.023 1.382 2.569E+03
  6250 1.131E+06 2.643E+03 1.758E-03 1.162E-03 1.008 1.023 1.381 2.601E+03
  6500 1.159E+06 2.692E+03 1.749E-03 1.160E-03 1.008 1.024 1.381 2.634E+03
  6750 1.187E+06 2.742E+03 1.741E-03 1.157E-03 1.008 1.025 1.380 2.667E+03
  7000 1.216E+06 2.792E+03 1.733E-03 1.155E-03 1.008 1.025 1.380 2.700E+03
  7250 1.246E+06 2.843E+03 1.725E-03 1.153E-03 1.007 1.026 1.379 2.734E+03
  7500 1.276E+06 2.894E+03 1.717E-03 1.151E-03 1.007 1.026 1.379 2.769E+03
  7750 1.306E+06 2.947E+03 1.709E-03 1.149E-03 1.007 1.027 1.378 2.804E+03
  8000 1.337E+06 3.000E+03 1.701E-03 1.146E-03 1.007 1.027 1.378 2.839E+03
  8250 1.369E+06 3.053E+03 1.693E-03 1.144E-03 1.007 1.028 1.377 2.876E+03
  8500 1.401E+06 3.107E+03 1.686E-03 1.142E-03 1.007 1.028 1.376 2.912E+03
  8750 1.434E+06 3.162E+03 1.679E-03 1.139E-03 1.007 1.029 1.376 2.950E+03
  9000 1.467E+06 3.218E+03 1.671E-03 1.137E-03 1.007 1.029 1.375 2.987E+03
  9250 1.501E+06 3.274E+03 1.664E-03 1.135E-03 1.007 1.030 1.375 3.026E+03
  9500 1.535E+06 3.332E+03 1.657E-03 1.132E-03 1.007 1.030 1.374 3.065E+03
  9750 1.570E+06 3.389E+03 1.650E-03 1.130E-03 1.007 1.030 1.374 3.104E+03
 10000 1.606E+06 3.448E+03 1.643E-03 1.128E-03 1.007 1.031 1.373 3.144E+03
 10250 1.642E+06 3.507E+03 1.636E-03 1.125E-03 1.007 1.031 1.373 3.185E+03
 10500 1.678E+06 3.567E+03 1.630E-03 1.123E-03 1.008 1.032 1.372 3.226E+03
 10750 1.716E+06 3.628E+03 1.623E-03 1.120E-03 1.008 1.032 1.371 3.268E+03
 11000 1.754E+06 3.690E+03 1.617E-03 1.118E-03 1.008 1.032 1.371 3.311E+03
 11250 1.792E+06 3.752E+03 1.610E-03 1.116E-03 1.008 1.033 1.370 3.354E+03
 11500 1.832E+06 3.815E+03 1.604E-03 1.113E-03 1.008 1.033 1.370 3.398E+03
 11750 1.872E+06 3.879E+03 1.597E-03 1.111E-03 1.008 1.034 1.369 3.442E+03
 12000 1.912E+06 3.943E+03 1.591E-03 1.108E-03 1.009 1.034 1.369 3.487E+03
 12250 1.953E+06 4.009E+03 1.585E-03 1.106E-03 1.009 1.034 1.368 3.533E+03
 12500 1.995E+06 4.075E+03 1.578E-03 1.104E-03 1.009 1.035 1.368 3.579E+03
 12750 2.038E+06 4.142E+03 1.572E-03 1.101E-03 1.009 1.035 1.367 3.626E+03
 13000 2.081E+06 4.210E+03 1.566E-03 1.099E-03 1.009 1.035 1.367 3.674E+03
 13250 2.125E+06 4.279E+03 1.560E-03 1.096E-03 1.010 1.036 1.366 3.722E+03
 13500 2.170E+06 4.348E+03 1.554E-03 1.094E-03 1.010 1.036 1.366 3.771E+03
 13750 2.215E+06 4.419E+03 1.548E-03 1.091E-03 1.010 1.036 1.366 3.820E+03
 14000 2.261E+06 4.490E+03 1.543E-03 1.089E-03 1.010 1.037 1.365 3.871E+03
 14250 2.308E+06 4.562E+03 1.537E-03 1.086E-03 1.010 1.037 1.365 3.922E+03
 14500 2.356E+06 4.635E+03 1.531E-03 1.084E-03 1.011 1.037 1.364 3.973E+03
 14750 2.404E+06 4.709E+03 1.525E-03 1.082E-03 1.011 1.038 1.364 4.026E+03
 15000 2.453E+06 4.784E+03 1.520E-03 1.079E-03 1.011 1.038 1.363 4.079E+03
 15250 2.503E+06 4.860E+03 1.514E-03 1.077E-03 1.011 1.038 1.363 4.132E+03
 15500 2.554E+06 4.936E+03 1.509E-03 1.074E-03 1.012 1.038 1.363 4.187E+03
 15750 2.605E+06 5.013E+03 1.503E-03 1.072E-03 1.012 1.039 1.362 4.242E+03
 16000 2.657E+06 5.092E+03 1.498E-03 1.069E-03 1.012 1.039 1.362 4.298E+03
 16250 2.710E+06 5.171E+03 1.493E-03 1.067E-03 1.013 1.039 1.361 4.354E+03
 16500 2.764E+06 5.251E+03 1.487E-03 1.065E-03 1.013 1.040 1.361 4.412E+03
 16750 2.819E+06 5.332E+03 1.482E-03 1.062E-03 1.013 1.040 1.361 4.470E+03
 17000 2.874E+06 5.415E+03 1.477E-03 1.060E-03 1.013 1.040 1.360 4.529E+03
 17250 2.931E+06 5.498E+03 1.472E-03 1.057E-03 1.014 1.041 1.360 4.588E+03
 17500 2.988E+06 5.582E+03 1.466E-03 1.055E-03 1.014 1.041 1.359 4.649E+03
 17750 3.046E+06 5.667E+03 1.461E-03 1.053E-03 1.014 1.041 1.359 4.710E+03
 18000 3.105E+06 5.752E+03 1.456E-03 1.050E-03 1.015 1.042 1.359 4.772E+03
 18250 3.164E+06 5.839E+03 1.452E-03 1.048E-03 1.015 1.042 1.358 4.835E+03
 18500 3.225E+06 5.927E+03 1.447E-03 1.046E-03 1.016 1.042 1.358 4.898E+03
 18692 3.272E+06 5.996E+03 1.443E-03 1.044E-03 1.016 1.043 1.357 4.948E+03
