  ====================================================
  TEXSTAN(academic)
  s200_5.dat, turb ml, flat plate, Ts(x)                                  
  stepsize: constant, dx=  .010
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 9.95670E+02  vis= 7.97000E-04  sp_ht= 4.18000E+03
     prc(je)=    5.430
  initial profiles: kstart=  3  dyi= 1.000E-01  rate=  .0900
  turbulence model information:
     m-l: k=0.41, al=fn(0.085,rem), a+=fn(25,p+,vo+)
     transition model: not used
     vapp=    .00  tuapp=   .0  epsapp= 0.000E+00
     turbulent prandtl number model: Kays variable prt
     y-grid being controlled to limit yplus(2) <=   .20
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 9.0000E-01  gxx=-1.0000E-02
  Stanton number and htc based on (ts-tinf)
  ====================================================
   Turbulent flat plate flow benchmark
   cf/2,theo = 0.0125*rem**(-0.25)                                     
   st,theo = Hollingsworth correlation                                 
  ====================================================

  intg rex       rem       cf2       st        cfrat strat h12   reh
     5 3.865E+05 1.163E+03 2.193E-03 7.058E-04 1.024  .974 1.413 1.521E+03
   250 4.123E+05 1.219E+03 2.185E-03 7.049E-04 1.033  .974 1.410 1.540E+03
   500 4.397E+05 1.279E+03 2.154E-03 7.057E-04 1.031  .978 1.409 1.559E+03
   750 4.682E+05 1.339E+03 2.119E-03 7.091E-04 1.026  .984 1.409 1.579E+03
  1000 4.978E+05 1.402E+03 2.087E-03 7.126E-04 1.021  .991 1.409 1.600E+03
  1250 5.286E+05 1.465E+03 2.056E-03 7.158E-04 1.018  .998 1.408 1.622E+03
  1500 5.606E+05 1.531E+03 2.028E-03 7.184E-04 1.015 1.004 1.407 1.645E+03
  1750 5.939E+05 1.598E+03 2.002E-03 7.204E-04 1.012 1.009 1.405 1.669E+03
  2000 6.286E+05 1.667E+03 1.977E-03 7.220E-04 1.010 1.014 1.404 1.694E+03
  2250 6.646E+05 1.738E+03 1.953E-03 7.231E-04 1.009 1.018 1.402 1.720E+03
  2500 7.020E+05 1.810E+03 1.931E-03 7.238E-04 1.008 1.021 1.400 1.747E+03
  2750 7.409E+05 1.885E+03 1.910E-03 7.242E-04 1.007 1.024 1.399 1.775E+03
  3000 7.814E+05 1.962E+03 1.889E-03 7.243E-04 1.006 1.027 1.397 1.805E+03
  3250 8.234E+05 2.041E+03 1.869E-03 7.241E-04 1.005 1.030 1.395 1.835E+03
  3500 8.670E+05 2.122E+03 1.850E-03 7.237E-04 1.005 1.032 1.394 1.867E+03
  3750 9.123E+05 2.205E+03 1.832E-03 7.231E-04 1.004 1.034 1.392 1.899E+03
  4000 9.593E+05 2.291E+03 1.814E-03 7.223E-04 1.004 1.036 1.390 1.933E+03
  4250 1.008E+06 2.379E+03 1.797E-03 7.213E-04 1.004 1.037 1.389 1.969E+03
  4500 1.059E+06 2.470E+03 1.780E-03 7.202E-04 1.004 1.039 1.387 2.005E+03
  4750 1.111E+06 2.563E+03 1.764E-03 7.190E-04 1.004 1.040 1.386 2.043E+03
  5000 1.166E+06 2.658E+03 1.748E-03 7.176E-04 1.004 1.041 1.384 2.082E+03
  5250 1.222E+06 2.756E+03 1.732E-03 7.162E-04 1.004 1.042 1.383 2.122E+03
  5500 1.280E+06 2.857E+03 1.717E-03 7.146E-04 1.004 1.043 1.381 2.164E+03
  5750 1.341E+06 2.960E+03 1.702E-03 7.129E-04 1.005 1.044 1.380 2.207E+03
  6000 1.403E+06 3.067E+03 1.688E-03 7.112E-04 1.005 1.045 1.378 2.252E+03
  6250 1.468E+06 3.176E+03 1.674E-03 7.094E-04 1.005 1.046 1.377 2.298E+03
  6500 1.535E+06 3.287E+03 1.660E-03 7.075E-04 1.006 1.047 1.376 2.346E+03
  6750 1.605E+06 3.402E+03 1.646E-03 7.055E-04 1.006 1.047 1.374 2.395E+03
  7000 1.677E+06 3.520E+03 1.633E-03 7.035E-04 1.006 1.048 1.373 2.445E+03
  7250 1.751E+06 3.641E+03 1.620E-03 7.015E-04 1.007 1.048 1.372 2.497E+03
  7500 1.828E+06 3.765E+03 1.607E-03 6.994E-04 1.007 1.049 1.371 2.551E+03
  7750 1.907E+06 3.892E+03 1.595E-03 6.973E-04 1.008 1.049 1.370 2.606E+03
  8000 1.989E+06 4.022E+03 1.583E-03 6.951E-04 1.008 1.049 1.369 2.664E+03
  8250 2.074E+06 4.155E+03 1.570E-03 6.929E-04 1.009 1.050 1.368 2.722E+03
  8500 2.161E+06 4.292E+03 1.559E-03 6.907E-04 1.009 1.050 1.367 2.783E+03
  8750 2.251E+06 4.432E+03 1.547E-03 6.884E-04 1.010 1.050 1.366 2.845E+03
  9000 2.344E+06 4.576E+03 1.535E-03 6.861E-04 1.010 1.051 1.365 2.909E+03
  9250 2.440E+06 4.723E+03 1.524E-03 6.838E-04 1.011 1.051 1.364 2.975E+03
  9500 2.540E+06 4.873E+03 1.513E-03 6.815E-04 1.011 1.051 1.363 3.043E+03
  9750 2.642E+06 5.028E+03 1.502E-03 6.792E-04 1.012 1.051 1.362 3.112E+03
 10000 2.747E+06 5.185E+03 1.492E-03 6.769E-04 1.013 1.052 1.361 3.184E+03
 10250 2.856E+06 5.347E+03 1.481E-03 6.745E-04 1.013 1.052 1.361 3.257E+03
