   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    5.3801819E-03 3.793E-04 1.500E+01 4.283E-05 1.389E+00 5.214E-05
    5.4656449E-03 3.804E-04 1.500E+01 4.300E-05 1.388E+00 5.224E-05
    5.5609031E-03 3.817E-04 1.500E+01 4.319E-05 1.388E+00 5.236E-05
    5.6565034E-03 3.831E-04 1.500E+01 4.339E-05 1.388E+00 5.247E-05
    5.7524587E-03 3.846E-04 1.500E+01 4.358E-05 1.387E+00 5.259E-05
    5.8487747E-03 3.860E-04 1.500E+01 4.378E-05 1.387E+00 5.270E-05
    5.9454524E-03 3.874E-04 1.500E+01 4.397E-05 1.387E+00 5.282E-05
    6.0424907E-03 3.889E-04 1.500E+01 4.417E-05 1.387E+00 5.294E-05
    6.1398869E-03 3.903E-04 1.500E+01 4.436E-05 1.387E+00 5.305E-05
    6.2376380E-03 3.918E-04 1.500E+01 4.456E-05 1.387E+00 5.317E-05
    6.3357731E-03 3.934E-04 1.500E+01 4.476E-05 1.387E+00 5.329E-05
    6.4343062E-03 3.949E-04 1.500E+01 4.496E-05 1.387E+00 5.341E-05
    6.5332302E-03 3.965E-04 1.500E+01 4.516E-05 1.387E+00 5.352E-05
    6.6325388E-03 3.980E-04 1.500E+01 4.536E-05 1.387E+00 5.364E-05
    6.7322265E-03 3.995E-04 1.500E+01 4.556E-05 1.387E+00 5.376E-05
    6.8322881E-03 4.010E-04 1.500E+01 4.576E-05 1.387E+00 5.388E-05
    6.9327188E-03 4.025E-04 1.500E+01 4.596E-05 1.387E+00 5.400E-05
    7.0335144E-03 4.039E-04 1.500E+01 4.617E-05 1.387E+00 5.412E-05
    7.1346710E-03 4.054E-04 1.500E+01 4.637E-05 1.387E+00 5.424E-05
    7.2361846E-03 4.068E-04 1.500E+01 4.657E-05 1.387E+00 5.436E-05
    7.3380521E-03 4.082E-04 1.500E+01 4.677E-05 1.387E+00 5.449E-05
    7.4402789E-03 4.097E-04 1.500E+01 4.698E-05 1.387E+00 5.461E-05
