   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2140.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 5.3801819E-03 5.7274142E+05 1.5948E+03 2.026E-03 1.942E+03 1.198E-03 1.503E+03
 5.4656449E-03 5.7592398E+05 1.6012E+03 2.027E-03 1.946E+03 1.199E-03 1.512E+03
 5.5609031E-03 5.7947129E+05 1.6084E+03 2.028E-03 1.950E+03 1.199E-03 1.522E+03
 5.6565034E-03 5.8303134E+05 1.6156E+03 2.028E-03 1.954E+03 1.199E-03 1.531E+03
 5.7524587E-03 5.8660461E+05 1.6229E+03 2.027E-03 1.958E+03 1.199E-03 1.540E+03
 5.8487747E-03 5.9019132E+05 1.6301E+03 2.027E-03 1.963E+03 1.199E-03 1.550E+03
 5.9454524E-03 5.9379149E+05 1.6374E+03 2.026E-03 1.967E+03 1.199E-03 1.559E+03
 6.0424907E-03 5.9740509E+05 1.6448E+03 2.025E-03 1.971E+03 1.198E-03 1.568E+03
 6.1398869E-03 6.0103202E+05 1.6521E+03 2.024E-03 1.976E+03 1.198E-03 1.577E+03
 6.2376380E-03 6.0467217E+05 1.6595E+03 2.022E-03 1.980E+03 1.197E-03 1.586E+03
 6.3357731E-03 6.0832661E+05 1.6669E+03 2.021E-03 1.984E+03 1.197E-03 1.595E+03
 6.4343062E-03 6.1199588E+05 1.6743E+03 2.019E-03 1.989E+03 1.197E-03 1.604E+03
 6.5332302E-03 6.1567970E+05 1.6817E+03 2.016E-03 1.993E+03 1.196E-03 1.613E+03
 6.6325388E-03 6.1937785E+05 1.6891E+03 2.014E-03 1.998E+03 1.196E-03 1.622E+03
 6.7322265E-03 6.2309011E+05 1.6966E+03 2.011E-03 2.002E+03 1.196E-03 1.632E+03
 6.8322881E-03 6.2681630E+05 1.7041E+03 2.009E-03 2.006E+03 1.196E-03 1.641E+03
 6.9327188E-03 6.3055623E+05 1.7116E+03 2.006E-03 2.011E+03 1.195E-03 1.651E+03
 7.0335144E-03 6.3430975E+05 1.7191E+03 2.003E-03 2.015E+03 1.195E-03 1.660E+03
 7.1346710E-03 6.3807671E+05 1.7267E+03 2.001E-03 2.020E+03 1.195E-03 1.670E+03
 7.2361846E-03 6.4185697E+05 1.7342E+03 1.998E-03 2.024E+03 1.195E-03 1.679E+03
 7.3380521E-03 6.4565040E+05 1.7418E+03 1.995E-03 2.029E+03 1.194E-03 1.689E+03
 7.4402789E-03 6.4945722E+05 1.7494E+03 1.992E-03 2.034E+03 1.194E-03 1.699E+03
 7.5429013E-03 6.5327877E+05 1.7570E+03 1.989E-03 2.038E+03 1.194E-03 1.708E+03
 7.6459190E-03 6.5711504E+05 1.7646E+03 1.986E-03 2.043E+03 1.194E-03 1.718E+03
 7.7493272E-03 6.6096585E+05 1.7723E+03 1.983E-03 2.047E+03 1.194E-03 1.728E+03
 7.8531213E-03 6.6483103E+05 1.7799E+03 1.980E-03 2.052E+03 1.194E-03 1.738E+03
 7.9572972E-03 6.6871043E+05 1.7876E+03 1.977E-03 2.057E+03 1.193E-03 1.748E+03
 8.0618512E-03 6.7260390E+05 1.7953E+03 1.975E-03 2.061E+03 1.193E-03 1.758E+03
 8.1667795E-03 6.7651132E+05 1.8030E+03 1.972E-03 2.066E+03 1.193E-03 1.768E+03
 8.2720789E-03 6.8043256E+05 1.8107E+03 1.969E-03 2.071E+03 1.193E-03 1.777E+03
 8.3777461E-03 6.8436749E+05 1.8185E+03 1.966E-03 2.075E+03 1.193E-03 1.787E+03
 8.4837782E-03 6.8831601E+05 1.8262E+03 1.963E-03 2.080E+03 1.192E-03 1.798E+03
 8.5901726E-03 6.9227803E+05 1.8340E+03 1.960E-03 2.085E+03 1.192E-03 1.808E+03
 8.6969588E-03 6.9625463E+05 1.8418E+03 1.957E-03 2.089E+03 1.192E-03 1.818E+03
 8.8041545E-03 7.0024648E+05 1.8496E+03 1.954E-03 2.094E+03 1.192E-03 1.828E+03
 8.9117554E-03 7.0425342E+05 1.8574E+03 1.952E-03 2.099E+03 1.192E-03 1.838E+03
 9.0197571E-03 7.0827529E+05 1.8653E+03 1.949E-03 2.104E+03 1.191E-03 1.848E+03
 9.1281557E-03 7.1231194E+05 1.8731E+03 1.946E-03 2.109E+03 1.191E-03 1.858E+03
 9.2369479E-03 7.1636324E+05 1.8810E+03 1.943E-03 2.113E+03 1.191E-03 1.869E+03
 9.3461307E-03 7.2042909E+05 1.8889E+03 1.940E-03 2.118E+03 1.191E-03 1.879E+03
 9.4557015E-03 7.2450939E+05 1.8968E+03 1.938E-03 2.123E+03 1.191E-03 1.889E+03
 9.5656586E-03 7.2860407E+05 1.9047E+03 1.935E-03 2.128E+03 1.190E-03 1.899E+03
 9.6760008E-03 7.3271310E+05 1.9127E+03 1.932E-03 2.133E+03 1.190E-03 1.910E+03
