   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2140.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  5.3801819E-03  3.0177E+04  1.5000E+01  1.1984E-03
          50  5.4656449E-03  3.0195E+04  1.5000E+01  1.1991E-03
         100  5.5609031E-03  3.0196E+04  1.5000E+01  1.1991E-03
         150  5.6565034E-03  3.0196E+04  1.5000E+01  1.1991E-03
         200  5.7524587E-03  3.0194E+04  1.5000E+01  1.1990E-03
         250  5.8487747E-03  3.0190E+04  1.5000E+01  1.1988E-03
         300  5.9454524E-03  3.0183E+04  1.5000E+01  1.1986E-03
         350  6.0424907E-03  3.0175E+04  1.5000E+01  1.1983E-03
         400  6.1398869E-03  3.0166E+04  1.5000E+01  1.1979E-03
         450  6.2376380E-03  3.0156E+04  1.5000E+01  1.1975E-03
         500  6.3357731E-03  3.0146E+04  1.5000E+01  1.1971E-03
         550  6.4343062E-03  3.0137E+04  1.5000E+01  1.1967E-03
         600  6.5332302E-03  3.0128E+04  1.5000E+01  1.1964E-03
         650  6.6325388E-03  3.0120E+04  1.5000E+01  1.1961E-03
         700  6.7322265E-03  3.0113E+04  1.5000E+01  1.1958E-03
         750  6.8322881E-03  3.0106E+04  1.5000E+01  1.1955E-03
         800  6.9327188E-03  3.0100E+04  1.5000E+01  1.1953E-03
         850  7.0335144E-03  3.0094E+04  1.5000E+01  1.1950E-03
         900  7.1346710E-03  3.0088E+04  1.5000E+01  1.1948E-03
         950  7.2361846E-03  3.0083E+04  1.5000E+01  1.1946E-03
        1000  7.3380521E-03  3.0078E+04  1.5000E+01  1.1944E-03
        1050  7.4402789E-03  3.0073E+04  1.5000E+01  1.1942E-03
        1100  7.5429013E-03  3.0069E+04  1.5000E+01  1.1940E-03
        1150  7.6459190E-03  3.0064E+04  1.5000E+01  1.1939E-03
        1200  7.7493272E-03  3.0060E+04  1.5000E+01  1.1937E-03
        1250  7.8531213E-03  3.0056E+04  1.5000E+01  1.1935E-03
        1300  7.9572972E-03  3.0051E+04  1.5000E+01  1.1933E-03
        1350  8.0618512E-03  3.0047E+04  1.5000E+01  1.1932E-03
        1400  8.1667795E-03  3.0043E+04  1.5000E+01  1.1930E-03
        1450  8.2720789E-03  3.0038E+04  1.5000E+01  1.1928E-03
        1500  8.3777461E-03  3.0034E+04  1.5000E+01  1.1926E-03
        1550  8.4837782E-03  3.0029E+04  1.5000E+01  1.1925E-03
        1600  8.5901726E-03  3.0025E+04  1.5000E+01  1.1923E-03
        1650  8.6969588E-03  3.0020E+04  1.5000E+01  1.1921E-03
        1700  8.8041545E-03  3.0015E+04  1.5000E+01  1.1919E-03
        1750  8.9117554E-03  3.0010E+04  1.5000E+01  1.1917E-03
        1800  9.0197571E-03  3.0004E+04  1.5000E+01  1.1915E-03
        1850  9.1281557E-03  2.9999E+04  1.5000E+01  1.1913E-03
        1900  9.2369479E-03  2.9994E+04  1.5000E+01  1.1910E-03
        1950  9.3461307E-03  2.9988E+04  1.5000E+01  1.1908E-03
        2000  9.4557015E-03  2.9982E+04  1.5000E+01  1.1906E-03
        2050  9.5656586E-03  2.9977E+04  1.5000E+01  1.1904E-03
        2100  9.6760008E-03  2.9971E+04  1.5000E+01  1.1901E-03
        2150  9.7867275E-03  2.9965E+04  1.5000E+01  1.1899E-03
        2200  9.8978389E-03  2.9959E+04  1.5000E+01  1.1897E-03
        2250  1.0009340E-02  2.9953E+04  1.5000E+01  1.1894E-03
        2300  1.0121256E-02  2.9946E+04  1.5000E+01  1.1892E-03
        2350  1.0233591E-02  2.9940E+04  1.5000E+01  1.1889E-03
        2400  1.0346342E-02  2.9934E+04  1.5000E+01  1.1887E-03
        2450  1.0459509E-02  2.9927E+04  1.5000E+01  1.1884E-03
        2500  1.0573091E-02  2.9921E+04  1.5000E+01  1.1882E-03
        2550  1.0687089E-02  2.9914E+04  1.5000E+01  1.1879E-03
        2600  1.0801503E-02  2.9907E+04  1.5000E+01  1.1876E-03
        2650  1.0916333E-02  2.9900E+04  1.5000E+01  1.1874E-03
        2700  1.1031581E-02  2.9894E+04  1.5000E+01  1.1871E-03
        2750  1.1147247E-02  2.9887E+04  1.5000E+01  1.1868E-03
        2800  1.1263333E-02  2.9880E+04  1.5000E+01  1.1865E-03
        2850  1.1379839E-02  2.9873E+04  1.5000E+01  1.1863E-03
        2900  1.1496768E-02  2.9866E+04  1.5000E+01  1.1860E-03
        2950  1.1614119E-02  2.9858E+04  1.5000E+01  1.1857E-03
        3000  1.1731896E-02  2.9851E+04  1.5000E+01  1.1854E-03
        3050  1.1850098E-02  2.9844E+04  1.5000E+01  1.1851E-03
        3100  1.1968728E-02  2.9837E+04  1.5000E+01  1.1848E-03
        3150  1.2087787E-02  2.9829E+04  1.5000E+01  1.1845E-03
        3200  1.2207277E-02  2.9822E+04  1.5000E+01  1.1842E-03
        3250  1.2327198E-02  2.9814E+04  1.5000E+01  1.1839E-03
        3300  1.2447552E-02  2.9806E+04  1.5000E+01  1.1836E-03
        3350  1.2568341E-02  2.9799E+04  1.5000E+01  1.1833E-03
        3400  1.2689567E-02  2.9791E+04  1.5000E+01  1.1830E-03
        3450  1.2811230E-02  2.9783E+04  1.5000E+01  1.1827E-03
        3500  1.2933333E-02  2.9775E+04  1.5000E+01  1.1824E-03
        3550  1.3055876E-02  2.9767E+04  1.5000E+01  1.1821E-03
        3600  1.3178861E-02  2.9759E+04  1.5000E+01  1.1817E-03
        3650  1.3302290E-02  2.9751E+04  1.5000E+01  1.1814E-03
        3700  1.3426165E-02  2.9743E+04  1.5000E+01  1.1811E-03
        3750  1.3550486E-02  2.9734E+04  1.5000E+01  1.1808E-03
        3800  1.3675255E-02  2.9726E+04  1.5000E+01  1.1804E-03
        3850  1.3800474E-02  2.9717E+04  1.5000E+01  1.1801E-03
        3900  1.3926144E-02  2.9709E+04  1.5000E+01  1.1797E-03
        3950  1.4052266E-02  2.9700E+04  1.5000E+01  1.1794E-03
        4000  1.4178843E-02  2.9692E+04  1.5000E+01  1.1791E-03
        4050  1.4305876E-02  2.9683E+04  1.5000E+01  1.1787E-03
        4100  1.4433365E-02  2.9674E+04  1.5000E+01  1.1784E-03
        4150  1.4561313E-02  2.9666E+04  1.5000E+01  1.1780E-03
        4200  1.4689722E-02  2.9657E+04  1.5000E+01  1.1777E-03
        4250  1.4818592E-02  2.9648E+04  1.5000E+01  1.1773E-03
        4300  1.4947925E-02  2.9639E+04  1.5000E+01  1.1770E-03
        4350  1.5077722E-02  2.9630E+04  1.5000E+01  1.1766E-03
        4400  1.5207986E-02  2.9621E+04  1.5000E+01  1.1763E-03
        4450  1.5338718E-02  2.9612E+04  1.5000E+01  1.1759E-03
        4500  1.5469918E-02  2.9603E+04  1.5000E+01  1.1755E-03
        4550  1.5601589E-02  2.9593E+04  1.5000E+01  1.1752E-03
