   s31.dat, lam, pipe, CEF, q"s(x)                                         
   constant props, csubp =  2000.00
   for the I-wall, kwall=1
        intg  x/dh           htc         umean       nu
           5  1.2500001E-02  1.3842E+01  5.0920E+00  8.2390E+00
          20  5.0000049E-02  1.3841E+01  5.0920E+00  8.2390E+00
          40  1.0000000E-01  1.3841E+01  5.0920E+00  8.2390E+00
          60  1.6074334E-01  1.3841E+01  5.0920E+00  8.2389E+00
          80  2.4958457E-01  1.3841E+01  5.0920E+00  8.2389E+00
         100  3.8370817E-01  1.3841E+01  5.0920E+00  8.2389E+00
         120  5.8300878E-01  1.3841E+01  5.0920E+00  8.2389E+00
         140  8.7915909E-01  1.3841E+01  5.0920E+00  8.2388E+00
         160  1.3192237E+00  1.3841E+01  5.0920E+00  8.2387E+00
         180  1.9731338E+00  1.3841E+01  5.0920E+00  8.2387E+00
         200  2.9448148E+00  1.3841E+01  5.0920E+00  8.2386E+00
         220  4.3886694E+00  1.3841E+01  5.0920E+00  8.2384E+00
         240  6.4890390E+00  1.3840E+01  5.0920E+00  8.2383E+00
         260  9.6771482E+00  1.3840E+01  5.0920E+00  8.2380E+00
         262  1.0000009E+01  1.3840E+01  5.0920E+00  8.2380E+00
