   s31.dat, lam, pipe, CEF, q"s(x)                                         
   constant props, csubp =  2000.00
   for the I-wall, kwall=1
        intg  x/dh           htc         qflux       tm          ts
           5  1.2500001E-02  1.3842E+01  1.0000E+01  3.0000E+02  3.0072E+02
          20  5.0000049E-02  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
          40  1.0000000E-01  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
          60  1.6074334E-01  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
          80  2.4958457E-01  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
         100  3.8370817E-01  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
         120  5.8300878E-01  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
         140  8.7915909E-01  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
         160  1.3192237E+00  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
         180  1.9731338E+00  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
         200  2.9448148E+00  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
         220  4.3886694E+00  1.3841E+01  1.0000E+01  3.0000E+02  3.0072E+02
         240  6.4890390E+00  1.3840E+01  1.0000E+01  3.0000E+02  3.0072E+02
         260  9.6771482E+00  1.3840E+01  1.0000E+01  3.0000E+02  3.0072E+02
         262  1.0000009E+01  1.3840E+01  1.0000E+01  3.0000E+02  3.0072E+02
