   s31.dat, lam, pipe, CEF, q"s(x)                                         
    x/dh           tauw(I)    tauw(E)    cf2(I)     cf2(E)     delp
    1.2500001E-02  2.566E+02  2.566E+02  1.199E-02  1.199E-02  1.2849E+01
    5.0000049E-02  2.566E+02  2.566E+02  1.199E-02  1.199E-02  5.1392E+01
    1.0000000E-01  2.566E+02  2.566E+02  1.199E-02  1.199E-02  1.0277E+02
    1.6074334E-01  2.566E+02  2.566E+02  1.199E-02  1.199E-02  1.6643E+02
    2.4958457E-01  2.565E+02  2.565E+02  1.199E-02  1.199E-02  2.5956E+02
    3.8370817E-01  2.565E+02  2.565E+02  1.199E-02  1.199E-02  4.0009E+02
    5.8300878E-01  2.565E+02  2.565E+02  1.199E-02  1.199E-02  6.0887E+02
    8.7915909E-01  2.565E+02  2.565E+02  1.199E-02  1.199E-02  9.1905E+02
    1.3192237E+00  2.565E+02  2.565E+02  1.199E-02  1.199E-02  1.3798E+03
    1.9731338E+00  2.565E+02  2.565E+02  1.199E-02  1.199E-02  2.0643E+03
    2.9448148E+00  2.564E+02  2.564E+02  1.199E-02  1.199E-02  3.0811E+03
    4.3886694E+00  2.564E+02  2.564E+02  1.199E-02  1.199E-02  4.5917E+03
    6.4890390E+00  2.564E+02  2.564E+02  1.199E-02  1.199E-02  6.7901E+03
    9.6771482E+00  2.564E+02  2.564E+02  1.199E-02  1.199E-02  1.0126E+04
    1.0000009E+01  2.564E+02  2.564E+02  1.199E-02  1.199E-02  1.0465E+04
