  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 8.25000E+02  vis= 2.10000E-01  sp_ht= 2.00000E+03
     prc(je)= 5000.000
  initial profiles: kstart=  2  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0002E+03    Prandtl number= 5000.000
   U,mean = 5.0920E+00            d,h = 5.0000E-02
   viscom = 2.1000E-01            rhom  = 8.2500E+02

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 1.199E-02 1.199E-02  8.239E+00 -8.239E+00
               y(i)           u(i)         f(1,i)         f(2,i)         f(3,i)
       0.000000E+00   0.000000E+00   3.007224E+02   0.000000E+00   0.000000E+00
       4.828125E-06   5.897952E-03   3.007218E+02   0.000000E+00   0.000000E+00
       1.321578E-05   1.613875E-02   3.007208E+02   0.000000E+00   0.000000E+00
       2.065520E-05   2.521605E-02   3.007199E+02   0.000000E+00   0.000000E+00
       2.876417E-05   3.510415E-02   3.007190E+02   0.000000E+00   0.000000E+00
       3.760294E-05   4.587486E-02   3.007179E+02   0.000000E+00   0.000000E+00
       4.723721E-05   5.760623E-02   3.007168E+02   0.000000E+00   0.000000E+00
       5.773856E-05   7.038309E-02   3.007155E+02   0.000000E+00   0.000000E+00
       6.918503E-05   8.429759E-02   3.007141E+02   0.000000E+00   0.000000E+00
       8.166168E-05   9.944981E-02   3.007127E+02   0.000000E+00   0.000000E+00
       9.526123E-05   1.159484E-01   3.007110E+02   0.000000E+00   0.000000E+00
       1.100847E-04   1.339113E-01   3.007093E+02   0.000000E+00   0.000000E+00
       1.262424E-04   1.534663E-01   3.007074E+02   0.000000E+00   0.000000E+00
       1.438542E-04   1.747523E-01   3.007053E+02   0.000000E+00   0.000000E+00
       1.630511E-04   1.979194E-01   3.007030E+02   0.000000E+00   0.000000E+00
       1.839757E-04   2.231306E-01   3.007005E+02   0.000000E+00   0.000000E+00
