   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    1.0491042E-03 1.625E-04 1.500E+01 2.195E-05 2.590E+00 2.705E-05
    1.2347903E-03 1.762E-04 1.500E+01 2.381E-05 2.590E+00 2.938E-05
    2.2696665E-03 2.391E-04 1.500E+01 3.230E-05 2.590E+00 4.004E-05
    3.6189639E-03 3.018E-04 1.500E+01 4.080E-05 2.590E+00 5.070E-05
    5.2818676E-03 3.647E-04 1.500E+01 4.930E-05 2.590E+00 6.135E-05
    7.2595516E-03 4.276E-04 1.500E+01 5.779E-05 2.590E+00 7.201E-05
    9.5517630E-03 4.905E-04 1.500E+01 6.629E-05 2.590E+00 8.266E-05
    1.2158410E-02 5.534E-04 1.500E+01 7.478E-05 2.590E+00 9.330E-05
    1.5079457E-02 6.163E-04 1.500E+01 8.328E-05 2.590E+00 1.039E-04
    1.8314887E-02 6.792E-04 1.500E+01 9.178E-05 2.590E+00 1.146E-04
    2.1864691E-02 7.420E-04 1.500E+01 1.003E-04 2.590E+00 1.252E-04
    2.5728865E-02 8.049E-04 1.500E+01 1.088E-04 2.590E+00 1.359E-04
    2.9907406E-02 8.678E-04 1.500E+01 1.173E-04 2.590E+00 1.465E-04
    3.4400312E-02 9.306E-04 1.500E+01 1.258E-04 2.590E+00 1.571E-04
    3.9207582E-02 9.935E-04 1.500E+01 1.343E-04 2.590E+00 1.678E-04
    4.4329216E-02 1.056E-03 1.500E+01 1.428E-04 2.590E+00 1.784E-04
    4.9765212E-02 1.119E-03 1.500E+01 1.512E-04 2.590E+00 1.891E-04
    5.5526963E-02 1.182E-03 1.500E+01 1.598E-04 2.590E+00 1.997E-04
    6.1592291E-02 1.245E-03 1.500E+01 1.683E-04 2.590E+00 2.103E-04
    6.7971980E-02 1.308E-03 1.500E+01 1.768E-04 2.590E+00 2.210E-04
    7.4666032E-02 1.371E-03 1.500E+01 1.852E-04 2.590E+00 2.316E-04
    8.1674446E-02 1.434E-03 1.500E+01 1.937E-04 2.590E+00 2.422E-04
    8.8997221E-02 1.497E-03 1.500E+01 2.022E-04 2.590E+00 2.529E-04
    9.6634358E-02 1.559E-03 1.500E+01 2.107E-04 2.590E+00 2.635E-04
    1.0448948E-01 1.622E-03 1.500E+01 2.191E-04 2.590E+00 2.740E-04
    1.1275160E-01 1.684E-03 1.500E+01 2.276E-04 2.590E+00 2.846E-04
    1.2132808E-01 1.747E-03 1.500E+01 2.361E-04 2.590E+00 2.953E-04
    1.3021893E-01 1.810E-03 1.500E+01 2.446E-04 2.590E+00 3.059E-04
    1.3942413E-01 1.873E-03 1.500E+01 2.531E-04 2.590E+00 3.165E-04
    1.4894370E-01 1.936E-03 1.500E+01 2.616E-04 2.590E+00 3.272E-04
    1.5866740E-01 1.998E-03 1.500E+01 2.700E-04 2.590E+00 3.377E-04
    1.6881223E-01 2.061E-03 1.500E+01 2.785E-04 2.590E+00 3.483E-04
    1.7927141E-01 2.124E-03 1.500E+01 2.870E-04 2.590E+00 3.590E-04
    1.9004495E-01 2.187E-03 1.500E+01 2.955E-04 2.590E+00 3.696E-04
    2.0000000E-01 2.243E-03 1.500E+01 3.031E-04 2.590E+00 3.791E-04
