   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 1.0491042E-03 1.0077222E+03 2.1084E+01 1.046E-02 2.598E+01 1.313E-02 9.351E+00
 1.2347903E-03 1.1860840E+03 2.2873E+01 9.640E-03 2.822E+01 1.210E-02 1.014E+01
 2.2696665E-03 2.1801394E+03 3.1030E+01 7.110E-03 3.846E+01 8.922E-03 1.375E+01
 3.6189639E-03 3.4762137E+03 3.9194E+01 5.628E-03 4.870E+01 7.061E-03 1.735E+01
 5.2818676E-03 5.0735241E+03 4.7353E+01 4.658E-03 5.893E+01 5.842E-03 2.095E+01
 7.2595516E-03 6.9731982E+03 5.5513E+01 3.973E-03 6.917E+01 4.981E-03 2.456E+01
 9.5517630E-03 9.1749932E+03 6.3673E+01 3.464E-03 7.940E+01 4.341E-03 2.816E+01
 1.2158410E-02 1.1678821E+04 7.1834E+01 3.070E-03 8.962E+01 3.847E-03 3.177E+01
 1.5079457E-02 1.4484647E+04 7.9995E+01 2.757E-03 9.985E+01 3.454E-03 3.537E+01
 1.8314887E-02 1.7592455E+04 8.8155E+01 2.502E-03 1.101E+02 3.134E-03 3.898E+01
 2.1864691E-02 2.1002237E+04 9.6316E+01 2.290E-03 1.203E+02 2.868E-03 4.258E+01
 2.5728865E-02 2.4713988E+04 1.0448E+02 2.111E-03 1.305E+02 2.644E-03 4.619E+01
 2.9907406E-02 2.8727707E+04 1.1264E+02 1.958E-03 1.407E+02 2.452E-03 4.980E+01
 3.4400312E-02 3.3043390E+04 1.2080E+02 1.826E-03 1.509E+02 2.286E-03 5.340E+01
 3.9207582E-02 3.7661037E+04 1.2896E+02 1.710E-03 1.612E+02 2.141E-03 5.701E+01
 4.4329216E-02 4.2580648E+04 1.3712E+02 1.608E-03 1.714E+02 2.014E-03 6.062E+01
 4.9765212E-02 4.7802221E+04 1.4528E+02 1.518E-03 1.816E+02 1.900E-03 6.423E+01
 5.5526963E-02 5.3336699E+04 1.5346E+02 1.437E-03 1.918E+02 1.799E-03 6.784E+01
 6.1592291E-02 5.9162780E+04 1.6162E+02 1.365E-03 2.020E+02 1.708E-03 7.145E+01
 6.7971980E-02 6.5290822E+04 1.6978E+02 1.299E-03 2.123E+02 1.626E-03 7.506E+01
 7.4666032E-02 7.1720827E+04 1.7794E+02 1.239E-03 2.225E+02 1.551E-03 7.866E+01
 8.1674446E-02 7.8452793E+04 1.8610E+02 1.185E-03 2.327E+02 1.483E-03 8.227E+01
 8.8997221E-02 8.5486722E+04 1.9426E+02 1.135E-03 2.429E+02 1.421E-03 8.588E+01
 9.6634358E-02 9.2822611E+04 2.0242E+02 1.090E-03 2.531E+02 1.364E-03 8.949E+01
 1.0448948E-01 1.0036788E+05 2.1049E+02 1.048E-03 2.632E+02 1.311E-03 9.306E+01
 1.1275160E-01 1.0830411E+05 2.1865E+02 1.009E-03 2.734E+02 1.262E-03 9.666E+01
 1.2132808E-01 1.1654229E+05 2.2681E+02 9.724E-04 2.836E+02 1.217E-03 1.003E+02
 1.3021893E-01 1.2508243E+05 2.3497E+02 9.386E-04 2.938E+02 1.175E-03 1.039E+02
 1.3942413E-01 1.3392454E+05 2.4313E+02 9.071E-04 3.041E+02 1.135E-03 1.075E+02
 1.4894370E-01 1.4306861E+05 2.5129E+02 8.777E-04 3.143E+02 1.098E-03 1.111E+02
 1.5866740E-01 1.5240876E+05 2.5936E+02 8.504E-04 3.244E+02 1.064E-03 1.147E+02
 1.6881223E-01 1.6215342E+05 2.6752E+02 8.244E-04 3.346E+02 1.032E-03 1.183E+02
 1.7927141E-01 1.7220004E+05 2.7568E+02 8.000E-04 3.448E+02 1.001E-03 1.219E+02
 1.9004495E-01 1.8254862E+05 2.8384E+02 7.770E-04 3.550E+02 9.723E-04 1.255E+02
 2.0000000E-01 1.9211099E+05 2.9118E+02 7.574E-04 3.642E+02 9.478E-04 1.287E+02
