  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.17700E+00  vis= 1.83800E-05  sp_ht= 1.00500E+03
     prc(je)=     .707
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 2.100E+01 1.050E-02 2.590E+00 2.588E+01  9.316E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
     1 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00  0.000E+00
     2 6.246E-09 9.451E-04 1.897E-04 6.301E-05 5.590E-05  0.000E+00
     3 1.710E-08 2.587E-03 5.194E-04 1.725E-04 1.530E-04  0.000E+00
     4 2.672E-08 4.043E-03 8.117E-04 2.695E-04 2.391E-04  0.000E+00
     5 3.721E-08 5.630E-03 1.130E-03 3.754E-04 3.330E-04  0.000E+00
     6 4.865E-08 7.361E-03 1.478E-03 4.907E-04 4.353E-04  0.000E+00
     7 6.111E-08 9.246E-03 1.856E-03 6.164E-04 5.469E-04  0.000E+00
     8 7.470E-08 1.130E-02 2.269E-03 7.535E-04 6.684E-04  0.000E+00
     9 8.951E-08 1.354E-02 2.719E-03 9.028E-04 8.010E-04  0.000E+00
    10 1.056E-07 1.598E-02 3.209E-03 1.066E-03 9.454E-04  0.000E+00
    11 1.232E-07 1.865E-02 3.744E-03 1.243E-03 1.103E-03  0.000E+00
    12 1.424E-07 2.155E-02 4.326E-03 1.437E-03 1.274E-03  0.000E+00
    13 1.633E-07 2.471E-02 4.961E-03 1.647E-03 1.462E-03  0.000E+00
    14 1.861E-07 2.816E-02 5.653E-03 1.877E-03 1.665E-03  0.000E+00
    15 2.109E-07 3.192E-02 6.408E-03 2.128E-03 1.888E-03  0.000E+00
    16 2.380E-07 3.601E-02 7.230E-03 2.401E-03 2.130E-03  0.000E+00
    17 2.675E-07 4.048E-02 8.126E-03 2.698E-03 2.394E-03  0.000E+00
    18 2.997E-07 4.534E-02 9.103E-03 3.023E-03 2.682E-03  0.000E+00
    19 3.347E-07 5.065E-02 1.017E-02 3.376E-03 2.995E-03  0.000E+00
    20 3.730E-07 5.643E-02 1.133E-02 3.762E-03 3.337E-03  0.000E+00
    21 4.146E-07 6.273E-02 1.259E-02 4.182E-03 3.710E-03  0.000E+00
