   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    1.0479657E-03 1.914E-04 1.500E+01 2.584E-05 2.589E+00 2.585E-05
    1.2685404E-03 2.108E-04 1.500E+01 2.844E-05 2.589E+00 2.845E-05
    2.5351710E-03 2.977E-04 1.500E+01 4.022E-05 2.590E+00 4.022E-05
    4.2369416E-03 3.847E-04 1.500E+01 5.200E-05 2.590E+00 5.200E-05
    6.3737806E-03 4.719E-04 1.500E+01 6.378E-05 2.590E+00 6.378E-05
    8.9468371E-03 5.591E-04 1.500E+01 7.556E-05 2.590E+00 7.557E-05
    1.1955666E-02 6.462E-04 1.500E+01 8.735E-05 2.590E+00 8.735E-05
    1.5400284E-02 7.334E-04 1.500E+01 9.913E-05 2.590E+00 9.914E-05
    1.9280713E-02 8.205E-04 1.500E+01 1.109E-04 2.590E+00 1.109E-04
    2.3596966E-02 9.077E-04 1.500E+01 1.227E-04 2.590E+00 1.227E-04
    2.8349050E-02 9.949E-04 1.500E+01 1.345E-04 2.590E+00 1.345E-04
    3.3536968E-02 1.082E-03 1.500E+01 1.463E-04 2.590E+00 1.463E-04
    3.9160725E-02 1.169E-03 1.500E+01 1.581E-04 2.590E+00 1.581E-04
    4.5220320E-02 1.256E-03 1.500E+01 1.698E-04 2.590E+00 1.698E-04
    5.1730998E-02 1.344E-03 1.500E+01 1.816E-04 2.590E+00 1.817E-04
    5.8663264E-02 1.431E-03 1.500E+01 1.934E-04 2.590E+00 1.934E-04
    6.6031371E-02 1.518E-03 1.500E+01 2.052E-04 2.590E+00 2.052E-04
    7.3835320E-02 1.605E-03 1.500E+01 2.170E-04 2.590E+00 2.170E-04
    8.2075110E-02 1.692E-03 1.500E+01 2.288E-04 2.590E+00 2.288E-04
    9.0750742E-02 1.780E-03 1.500E+01 2.406E-04 2.590E+00 2.406E-04
    9.9862216E-02 1.867E-03 1.500E+01 2.523E-04 2.590E+00 2.524E-04
    1.0935840E-01 1.953E-03 1.500E+01 2.641E-04 2.590E+00 2.641E-04
    1.1933928E-01 2.041E-03 1.500E+01 2.759E-04 2.590E+00 2.759E-04
    1.2975600E-01 2.128E-03 1.500E+01 2.876E-04 2.590E+00 2.876E-04
    1.4060856E-01 2.215E-03 1.500E+01 2.994E-04 2.590E+00 2.994E-04
    1.5183506E-01 2.302E-03 1.500E+01 3.111E-04 2.590E+00 3.111E-04
    1.6355696E-01 2.389E-03 1.500E+01 3.229E-04 2.590E+00 3.229E-04
    1.7571470E-01 2.476E-03 1.500E+01 3.347E-04 2.590E+00 3.347E-04
    1.8830829E-01 2.563E-03 1.500E+01 3.465E-04 2.590E+00 3.465E-04
    2.0000000E-01 2.642E-03 1.500E+01 3.571E-04 2.590E+00 3.571E-04
