   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2003.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 1.0479657E-03 7.2551473E+02 1.7890E+01 1.233E-02 1.789E+01 1.233E-02 8.949E+00
 1.2685404E-03 8.7822028E+02 1.9688E+01 1.121E-02 1.969E+01 1.121E-02 9.848E+00
 2.5351710E-03 1.7551184E+03 2.7843E+01 7.923E-03 2.785E+01 7.923E-03 1.391E+01
 4.2369416E-03 2.9332673E+03 3.5997E+01 6.128E-03 3.600E+01 6.128E-03 1.797E+01
 6.3737806E-03 4.4126173E+03 4.4154E+01 4.996E-03 4.416E+01 4.996E-03 2.204E+01
 8.9468371E-03 6.1939641E+03 5.2313E+01 4.216E-03 5.232E+01 4.216E-03 2.612E+01
 1.1955666E-02 8.2769997E+03 6.0472E+01 3.647E-03 6.048E+01 3.647E-03 3.019E+01
 1.5400284E-02 1.0661735E+04 6.8631E+01 3.214E-03 6.863E+01 3.214E-03 3.426E+01
 1.9280713E-02 1.3348186E+04 7.6789E+01 2.872E-03 7.679E+01 2.872E-03 3.834E+01
 2.3596966E-02 1.6336361E+04 8.4947E+01 2.596E-03 8.495E+01 2.596E-03 4.242E+01
 2.8349050E-02 1.9626265E+04 9.3105E+01 2.369E-03 9.311E+01 2.369E-03 4.649E+01
 3.3536968E-02 2.3217901E+04 1.0126E+02 2.178E-03 1.013E+02 2.178E-03 5.057E+01
 3.9160725E-02 2.7111271E+04 1.0942E+02 2.016E-03 1.094E+02 2.016E-03 5.465E+01
 4.5220320E-02 3.1306375E+04 1.1758E+02 1.876E-03 1.176E+02 1.876E-03 5.872E+01
 5.1730998E-02 3.5813768E+04 1.2576E+02 1.754E-03 1.258E+02 1.754E-03 6.281E+01
 5.8663264E-02 4.0613029E+04 1.3391E+02 1.647E-03 1.339E+02 1.647E-03 6.689E+01
 6.6031371E-02 4.5714026E+04 1.4207E+02 1.552E-03 1.421E+02 1.552E-03 7.097E+01
 7.3835320E-02 5.1116760E+04 1.5023E+02 1.468E-03 1.502E+02 1.468E-03 7.505E+01
 8.2075110E-02 5.6821230E+04 1.5839E+02 1.393E-03 1.584E+02 1.393E-03 7.912E+01
 9.0750742E-02 6.2827437E+04 1.6654E+02 1.324E-03 1.665E+02 1.324E-03 8.320E+01
 9.9862216E-02 6.9135381E+04 1.7470E+02 1.262E-03 1.747E+02 1.262E-03 8.728E+01
 1.0935840E-01 7.5709664E+04 1.8282E+02 1.206E-03 1.828E+02 1.206E-03 9.134E+01
 1.1933928E-01 8.2619501E+04 1.9097E+02 1.155E-03 1.910E+02 1.155E-03 9.542E+01
 1.2975600E-01 8.9831076E+04 1.9913E+02 1.108E-03 1.991E+02 1.108E-03 9.949E+01
 1.4060856E-01 9.7344387E+04 2.0729E+02 1.064E-03 2.073E+02 1.064E-03 1.036E+02
 1.5183506E-01 1.0511658E+05 2.1540E+02 1.024E-03 2.154E+02 1.024E-03 1.076E+02
 1.6355696E-01 1.1323174E+05 2.2356E+02 9.866E-04 2.236E+02 9.865E-04 1.117E+02
 1.7571470E-01 1.2164864E+05 2.3172E+02 9.518E-04 2.317E+02 9.518E-04 1.158E+02
 1.8830829E-01 1.3036727E+05 2.3988E+02 9.195E-04 2.399E+02 9.194E-04 1.199E+02
 2.0000000E-01 1.3846154E+05 2.4721E+02 8.922E-04 2.472E+02 8.922E-04 1.235E+02
