   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2003.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  1.0479657E-03  2.2236E+02  1.5000E+01  1.2335E-02
          50  1.2685404E-03  2.0214E+02  1.5000E+01  1.1213E-02
         100  2.5351710E-03  1.4283E+02  1.5000E+01  7.9231E-03
         150  4.2369416E-03  1.1047E+02  1.5000E+01  6.1279E-03
         200  6.3737806E-03  9.0055E+01  1.5000E+01  4.9955E-03
         250  8.9468371E-03  7.6006E+01  1.5000E+01  4.2162E-03
         300  1.1955666E-02  6.5750E+01  1.5000E+01  3.6473E-03
         350  1.5400284E-02  5.7933E+01  1.5000E+01  3.2137E-03
         400  1.9280713E-02  5.1778E+01  1.5000E+01  2.8722E-03
         450  2.3596966E-02  4.6805E+01  1.5000E+01  2.5964E-03
         500  2.8349050E-02  4.2704E+01  1.5000E+01  2.3689E-03
         550  3.3536968E-02  3.9263E+01  1.5000E+01  2.1780E-03
         600  3.9160725E-02  3.6336E+01  1.5000E+01  2.0157E-03
         650  4.5220320E-02  3.3815E+01  1.5000E+01  1.8758E-03
         700  5.1730998E-02  3.1616E+01  1.5000E+01  1.7538E-03
         750  5.8663264E-02  2.9690E+01  1.5000E+01  1.6470E-03
         800  6.6031371E-02  2.7986E+01  1.5000E+01  1.5524E-03
         850  7.3835320E-02  2.6466E+01  1.5000E+01  1.4681E-03
         900  8.2075110E-02  2.5103E+01  1.5000E+01  1.3925E-03
         950  9.0750742E-02  2.3873E+01  1.5000E+01  1.3243E-03
        1000  9.9862216E-02  2.2758E+01  1.5000E+01  1.2625E-03
        1050  1.0935840E-01  2.1748E+01  1.5000E+01  1.2064E-03
        1100  1.1933928E-01  2.0819E+01  1.5000E+01  1.1549E-03
        1150  1.2975600E-01  1.9966E+01  1.5000E+01  1.1076E-03
        1200  1.4060856E-01  1.9181E+01  1.5000E+01  1.0640E-03
        1250  1.5183506E-01  1.8458E+01  1.5000E+01  1.0239E-03
        1300  1.6355696E-01  1.7785E+01  1.5000E+01  9.8655E-04
        1350  1.7571470E-01  1.7158E+01  1.5000E+01  9.5182E-04
        1400  1.8830829E-01  1.6575E+01  1.5000E+01  9.1945E-04
        1445  2.0000000E-01  1.6083E+01  1.5000E+01  8.9218E-04
