  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 6.00000E-01  vis= 1.30000E-05  sp_ht= 2.00300E+03
     prc(je)=    1.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 1.783E+01 1.237E-02 2.590E+00 1.784E+01  1.237E-02

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
     1 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00  0.000E+00
     2 7.358E-09 9.451E-04 1.897E-04 6.301E-05 6.300E-05  0.000E+00
     3 2.014E-08 2.587E-03 5.194E-04 1.725E-04 1.725E-04  0.000E+00
     4 3.148E-08 4.043E-03 8.117E-04 2.695E-04 2.695E-04  0.000E+00
     5 4.383E-08 5.630E-03 1.130E-03 3.754E-04 3.754E-04  0.000E+00
     6 5.730E-08 7.361E-03 1.478E-03 4.907E-04 4.907E-04  0.000E+00
     7 7.199E-08 9.246E-03 1.856E-03 6.164E-04 6.164E-04  0.000E+00
     8 8.799E-08 1.130E-02 2.269E-03 7.535E-04 7.534E-04  0.000E+00
     9 1.054E-07 1.354E-02 2.719E-03 9.028E-04 9.028E-04  0.000E+00
    10 1.244E-07 1.598E-02 3.209E-03 1.066E-03 1.066E-03  0.000E+00
    11 1.452E-07 1.865E-02 3.744E-03 1.243E-03 1.243E-03  0.000E+00
    12 1.678E-07 2.155E-02 4.326E-03 1.437E-03 1.437E-03  0.000E+00
    13 1.924E-07 2.471E-02 4.961E-03 1.647E-03 1.647E-03  0.000E+00
    14 2.192E-07 2.816E-02 5.653E-03 1.877E-03 1.877E-03  0.000E+00
    15 2.485E-07 3.192E-02 6.408E-03 2.128E-03 2.128E-03  0.000E+00
    16 2.804E-07 3.601E-02 7.230E-03 2.401E-03 2.401E-03  0.000E+00
    17 3.151E-07 4.048E-02 8.126E-03 2.698E-03 2.698E-03  0.000E+00
    18 3.530E-07 4.534E-02 9.103E-03 3.023E-03 3.023E-03  0.000E+00
    19 3.943E-07 5.065E-02 1.017E-02 3.376E-03 3.376E-03  0.000E+00
    20 4.393E-07 5.643E-02 1.133E-02 3.762E-03 3.762E-03  0.000E+00
    21 4.884E-07 6.273E-02 1.259E-02 4.182E-03 4.182E-03  0.000E+00
