   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    1.0428326E-03 3.667E-05 1.500E+01 4.955E-06 2.590E+00 1.683E-06
    1.0835254E-03 3.736E-05 1.500E+01 5.050E-06 2.590E+00 1.716E-06
    1.2782429E-03 4.060E-05 1.500E+01 5.485E-06 2.590E+00 1.868E-06
    1.4890643E-03 4.379E-05 1.500E+01 5.920E-06 2.590E+00 2.020E-06
    1.7159746E-03 4.703E-05 1.500E+01 6.355E-06 2.590E+00 2.171E-06
    1.9589775E-03 5.022E-05 1.500E+01 6.791E-06 2.590E+00 2.323E-06
    2.2180195E-03 5.346E-05 1.500E+01 7.226E-06 2.590E+00 2.475E-06
    2.4932325E-03 5.669E-05 1.500E+01 7.661E-06 2.590E+00 2.626E-06
    2.7845562E-03 5.991E-05 1.500E+01 8.097E-06 2.590E+00 2.778E-06
    3.0919791E-03 6.313E-05 1.500E+01 8.532E-06 2.590E+00 2.930E-06
    3.4154994E-03 6.635E-05 1.500E+01 8.967E-06 2.590E+00 3.082E-06
    3.7551175E-03 6.957E-05 1.500E+01 9.403E-06 2.590E+00 3.233E-06
    4.1108341E-03 7.279E-05 1.500E+01 9.838E-06 2.590E+00 3.385E-06
    4.4826497E-03 7.601E-05 1.500E+01 1.027E-05 2.590E+00 3.537E-06
    4.8705648E-03 7.923E-05 1.500E+01 1.071E-05 2.590E+00 3.688E-06
    5.2745797E-03 8.245E-05 1.500E+01 1.114E-05 2.590E+00 3.840E-06
    5.6946949E-03 8.567E-05 1.500E+01 1.158E-05 2.590E+00 3.992E-06
    6.1309104E-03 8.889E-05 1.500E+01 1.202E-05 2.590E+00 4.143E-06
    6.5832265E-03 9.211E-05 1.500E+01 1.245E-05 2.590E+00 4.295E-06
    7.0516432E-03 9.533E-05 1.500E+01 1.289E-05 2.590E+00 4.447E-06
    7.5361607E-03 9.855E-05 1.500E+01 1.332E-05 2.590E+00 4.598E-06
    8.0367791E-03 1.018E-04 1.500E+01 1.376E-05 2.590E+00 4.750E-06
    8.5534985E-03 1.050E-04 1.500E+01 1.419E-05 2.590E+00 4.901E-06
    9.0863188E-03 1.082E-04 1.500E+01 1.463E-05 2.590E+00 5.053E-06
    9.6352402E-03 1.114E-04 1.500E+01 1.506E-05 2.590E+00 5.204E-06
    1.0200263E-02 1.146E-04 1.500E+01 1.550E-05 2.590E+00 5.356E-06
    1.0781386E-02 1.179E-04 1.500E+01 1.593E-05 2.590E+00 5.507E-06
    1.1378611E-02 1.211E-04 1.500E+01 1.637E-05 2.590E+00 5.659E-06
    1.1991937E-02 1.243E-04 1.500E+01 1.680E-05 2.590E+00 5.810E-06
    1.2621364E-02 1.275E-04 1.500E+01 1.724E-05 2.590E+00 5.962E-06
    1.3266892E-02 1.307E-04 1.500E+01 1.767E-05 2.590E+00 6.113E-06
    1.3928522E-02 1.340E-04 1.500E+01 1.811E-05 2.590E+00 6.265E-06
    1.4606253E-02 1.372E-04 1.500E+01 1.855E-05 2.590E+00 6.416E-06
    1.5300085E-02 1.404E-04 1.500E+01 1.898E-05 2.590E+00 6.568E-06
    1.6010018E-02 1.436E-04 1.500E+01 1.942E-05 2.590E+00 6.719E-06
    1.6736053E-02 1.468E-04 1.500E+01 1.985E-05 2.590E+00 6.871E-06
    1.7478189E-02 1.501E-04 1.500E+01 2.029E-05 2.590E+00 7.022E-06
    1.8236426E-02 1.533E-04 1.500E+01 2.072E-05 2.590E+00 7.174E-06
    1.9010764E-02 1.565E-04 1.500E+01 2.116E-05 2.590E+00 7.325E-06
    1.9801204E-02 1.597E-04 1.500E+01 2.159E-05 2.590E+00 7.476E-06
    2.0607745E-02 1.630E-04 1.500E+01 2.203E-05 2.590E+00 7.628E-06
    2.1430388E-02 1.662E-04 1.500E+01 2.246E-05 2.590E+00 7.779E-06
    2.2269132E-02 1.694E-04 1.500E+01 2.290E-05 2.590E+00 7.931E-06
    2.3123977E-02 1.726E-04 1.500E+01 2.333E-05 2.590E+00 8.082E-06
    2.3994923E-02 1.758E-04 1.500E+01 2.377E-05 2.590E+00 8.233E-06
    2.4881971E-02 1.791E-04 1.500E+01 2.420E-05 2.590E+00 8.385E-06
    2.5785120E-02 1.823E-04 1.500E+01 2.464E-05 2.590E+00 8.536E-06
    2.6704371E-02 1.855E-04 1.500E+01 2.507E-05 2.590E+00 8.688E-06
    2.7639723E-02 1.887E-04 1.500E+01 2.551E-05 2.590E+00 8.839E-06
    2.8591176E-02 1.919E-04 1.500E+01 2.595E-05 2.590E+00 8.990E-06
    2.9558730E-02 1.952E-04 1.500E+01 2.638E-05 2.590E+00 9.142E-06
    3.0542386E-02 1.984E-04 1.500E+01 2.682E-05 2.590E+00 9.293E-06
    3.1542144E-02 2.016E-04 1.500E+01 2.725E-05 2.590E+00 9.444E-06
    3.2558002E-02 2.048E-04 1.500E+01 2.769E-05 2.590E+00 9.596E-06
    3.3589962E-02 2.080E-04 1.500E+01 2.812E-05 2.590E+00 9.747E-06
    3.4638024E-02 2.113E-04 1.500E+01 2.856E-05 2.590E+00 9.898E-06
    3.5702186E-02 2.145E-04 1.500E+01 2.899E-05 2.590E+00 1.005E-05
    3.6782450E-02 2.177E-04 1.500E+01 2.943E-05 2.590E+00 1.020E-05
    3.7878816E-02 2.209E-04 1.500E+01 2.986E-05 2.590E+00 1.035E-05
    3.8991283E-02 2.241E-04 1.500E+01 3.030E-05 2.590E+00 1.050E-05
    4.0119851E-02 2.274E-04 1.500E+01 3.073E-05 2.590E+00 1.066E-05
    4.1264520E-02 2.306E-04 1.500E+01 3.117E-05 2.590E+00 1.081E-05
    4.2425291E-02 2.338E-04 1.500E+01 3.160E-05 2.590E+00 1.096E-05
    4.3602163E-02 2.370E-04 1.500E+01 3.204E-05 2.590E+00 1.111E-05
    4.4795137E-02 2.402E-04 1.500E+01 3.248E-05 2.590E+00 1.126E-05
    4.6004212E-02 2.435E-04 1.500E+01 3.291E-05 2.590E+00 1.141E-05
    4.7229388E-02 2.467E-04 1.500E+01 3.335E-05 2.590E+00 1.156E-05
    4.8470666E-02 2.499E-04 1.500E+01 3.378E-05 2.590E+00 1.171E-05
    4.9728045E-02 2.531E-04 1.500E+01 3.422E-05 2.590E+00 1.187E-05
    5.0994629E-02 2.563E-04 1.500E+01 3.465E-05 2.590E+00 1.202E-05
    5.2284124E-02 2.595E-04 1.500E+01 3.508E-05 2.590E+00 1.217E-05
    5.3589720E-02 2.628E-04 1.500E+01 3.552E-05 2.590E+00 1.232E-05
    5.4911418E-02 2.660E-04 1.500E+01 3.596E-05 2.590E+00 1.247E-05
    5.6249218E-02 2.692E-04 1.500E+01 3.639E-05 2.590E+00 1.262E-05
    5.7603119E-02 2.724E-04 1.500E+01 3.683E-05 2.590E+00 1.277E-05
    5.8973121E-02 2.756E-04 1.500E+01 3.726E-05 2.590E+00 1.292E-05
    6.0359224E-02 2.789E-04 1.500E+01 3.770E-05 2.590E+00 1.308E-05
    6.1761429E-02 2.821E-04 1.500E+01 3.813E-05 2.590E+00 1.323E-05
    6.3179735E-02 2.853E-04 1.500E+01 3.857E-05 2.590E+00 1.338E-05
    6.4614143E-02 2.885E-04 1.500E+01 3.900E-05 2.590E+00 1.353E-05
    6.6064652E-02 2.917E-04 1.500E+01 3.944E-05 2.590E+00 1.368E-05
    6.7531262E-02 2.950E-04 1.500E+01 3.987E-05 2.590E+00 1.383E-05
    6.9013974E-02 2.982E-04 1.500E+01 4.031E-05 2.590E+00 1.398E-05
    7.0512787E-02 3.014E-04 1.500E+01 4.074E-05 2.590E+00 1.413E-05
    7.2027701E-02 3.046E-04 1.500E+01 4.118E-05 2.590E+00 1.429E-05
    7.3558717E-02 3.078E-04 1.500E+01 4.161E-05 2.590E+00 1.444E-05
    7.5105835E-02 3.111E-04 1.500E+01 4.205E-05 2.590E+00 1.459E-05
    7.6669053E-02 3.143E-04 1.500E+01 4.249E-05 2.590E+00 1.474E-05
    7.8248373E-02 3.175E-04 1.500E+01 4.292E-05 2.590E+00 1.489E-05
    7.9843795E-02 3.207E-04 1.500E+01 4.336E-05 2.590E+00 1.504E-05
    8.1455317E-02 3.239E-04 1.500E+01 4.379E-05 2.590E+00 1.519E-05
    8.3082941E-02 3.272E-04 1.500E+01 4.423E-05 2.590E+00 1.534E-05
    8.4726667E-02 3.304E-04 1.500E+01 4.466E-05 2.590E+00 1.550E-05
    8.6386494E-02 3.336E-04 1.500E+01 4.510E-05 2.590E+00 1.565E-05
    8.8062422E-02 3.368E-04 1.500E+01 4.553E-05 2.590E+00 1.580E-05
    8.9754452E-02 3.400E-04 1.500E+01 4.597E-05 2.590E+00 1.595E-05
    9.1462583E-02 3.433E-04 1.500E+01 4.640E-05 2.590E+00 1.610E-05
    9.3186815E-02 3.465E-04 1.500E+01 4.684E-05 2.590E+00 1.625E-05
    9.4927149E-02 3.497E-04 1.500E+01 4.727E-05 2.590E+00 1.640E-05
    9.6683584E-02 3.529E-04 1.500E+01 4.771E-05 2.590E+00 1.655E-05
    9.8456121E-02 3.561E-04 1.500E+01 4.814E-05 2.590E+00 1.671E-05
    1.0025139E-01 3.594E-04 1.500E+01 4.858E-05 2.590E+00 1.686E-05
    1.0205619E-01 3.626E-04 1.500E+01 4.902E-05 2.590E+00 1.701E-05
    1.0387709E-01 3.658E-04 1.500E+01 4.945E-05 2.590E+00 1.716E-05
    1.0571409E-01 3.690E-04 1.500E+01 4.989E-05 2.590E+00 1.731E-05
    1.0756719E-01 3.723E-04 1.500E+01 5.032E-05 2.590E+00 1.746E-05
    1.0943639E-01 3.755E-04 1.500E+01 5.076E-05 2.590E+00 1.761E-05
    1.1132170E-01 3.787E-04 1.500E+01 5.119E-05 2.590E+00 1.777E-05
    1.1322311E-01 3.819E-04 1.500E+01 5.163E-05 2.590E+00 1.792E-05
    1.1514062E-01 3.851E-04 1.500E+01 5.206E-05 2.590E+00 1.807E-05
    1.1707423E-01 3.884E-04 1.500E+01 5.250E-05 2.590E+00 1.822E-05
    1.1902394E-01 3.916E-04 1.500E+01 5.293E-05 2.590E+00 1.837E-05
    1.2098975E-01 3.948E-04 1.500E+01 5.337E-05 2.590E+00 1.852E-05
    1.2297166E-01 3.980E-04 1.500E+01 5.381E-05 2.590E+00 1.867E-05
    1.2496968E-01 4.012E-04 1.500E+01 5.424E-05 2.590E+00 1.882E-05
    1.2698380E-01 4.045E-04 1.500E+01 5.468E-05 2.590E+00 1.898E-05
    1.2901401E-01 4.077E-04 1.500E+01 5.511E-05 2.590E+00 1.913E-05
    1.3106033E-01 4.109E-04 1.500E+01 5.555E-05 2.590E+00 1.928E-05
    1.3312275E-01 4.141E-04 1.500E+01 5.598E-05 2.590E+00 1.943E-05
    1.3520128E-01 4.173E-04 1.500E+01 5.642E-05 2.590E+00 1.958E-05
    1.3729590E-01 4.206E-04 1.500E+01 5.685E-05 2.590E+00 1.973E-05
    1.3940662E-01 4.238E-04 1.500E+01 5.729E-05 2.590E+00 1.988E-05
    1.4153345E-01 4.270E-04 1.500E+01 5.772E-05 2.590E+00 2.003E-05
    1.4367638E-01 4.302E-04 1.500E+01 5.816E-05 2.590E+00 2.019E-05
    1.4583541E-01 4.334E-04 1.500E+01 5.859E-05 2.590E+00 2.034E-05
    1.4801054E-01 4.367E-04 1.500E+01 5.903E-05 2.590E+00 2.049E-05
    1.5017588E-01 4.399E-04 1.500E+01 5.946E-05 2.590E+00 2.064E-05
    1.5238302E-01 4.431E-04 1.500E+01 5.989E-05 2.590E+00 2.079E-05
    1.5460626E-01 4.463E-04 1.500E+01 6.033E-05 2.590E+00 2.094E-05
    1.5684561E-01 4.495E-04 1.500E+01 6.077E-05 2.590E+00 2.109E-05
    1.5910106E-01 4.527E-04 1.500E+01 6.120E-05 2.590E+00 2.124E-05
    1.6137261E-01 4.560E-04 1.500E+01 6.164E-05 2.590E+00 2.139E-05
