   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  4180.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 1.0428326E-03 1.9542513E+04 9.2848E+01 2.375E-03 3.154E+01 8.280E-04 8.091E+01
 1.0835254E-03 2.0305089E+04 9.4642E+01 2.330E-03 3.216E+01 8.122E-04 8.246E+01
 1.2782429E-03 2.3954064E+04 1.0279E+02 2.145E-03 3.500E+01 7.476E-04 8.955E+01
 1.4890643E-03 2.7904822E+04 1.1094E+02 1.988E-03 3.785E+01 6.927E-04 9.665E+01
 1.7159746E-03 3.2157085E+04 1.1910E+02 1.852E-03 4.069E+01 6.453E-04 1.038E+02
 1.9589775E-03 3.6710919E+04 1.2725E+02 1.733E-03 4.353E+01 6.040E-04 1.109E+02
 2.2180195E-03 4.1565324E+04 1.3541E+02 1.629E-03 4.637E+01 5.677E-04 1.180E+02
 2.4932325E-03 4.6722771E+04 1.4357E+02 1.536E-03 4.922E+01 5.355E-04 1.251E+02
 2.7845562E-03 5.2182129E+04 1.5173E+02 1.454E-03 5.206E+01 5.067E-04 1.322E+02
 3.0919791E-03 5.7943184E+04 1.5989E+02 1.380E-03 5.490E+01 4.808E-04 1.393E+02
 3.4154994E-03 6.4005902E+04 1.6805E+02 1.313E-03 5.775E+01 4.574E-04 1.464E+02
 3.7551175E-03 7.0370290E+04 1.7621E+02 1.252E-03 6.059E+01 4.362E-04 1.535E+02
 4.1108341E-03 7.7036360E+04 1.8437E+02 1.196E-03 6.343E+01 4.169E-04 1.606E+02
 4.4826497E-03 8.4004123E+04 1.9253E+02 1.146E-03 6.628E+01 3.992E-04 1.677E+02
 4.8705648E-03 9.1273589E+04 2.0068E+02 1.099E-03 6.912E+01 3.829E-04 1.747E+02
 5.2745797E-03 9.8844764E+04 2.0884E+02 1.056E-03 7.196E+01 3.679E-04 1.818E+02
 5.6946949E-03 1.0671765E+05 2.1700E+02 1.016E-03 7.480E+01 3.540E-04 1.889E+02
 6.1309104E-03 1.1489226E+05 2.2516E+02 9.796E-04 7.765E+01 3.412E-04 1.960E+02
 6.5832265E-03 1.2336859E+05 2.3332E+02 9.453E-04 8.049E+01 3.292E-04 2.031E+02
 7.0516432E-03 1.3214664E+05 2.4148E+02 9.134E-04 8.333E+01 3.181E-04 2.102E+02
 7.5361607E-03 1.4122642E+05 2.4963E+02 8.835E-04 8.617E+01 3.077E-04 2.172E+02
 8.0367791E-03 1.5060793E+05 2.5779E+02 8.556E-04 8.901E+01 2.979E-04 2.243E+02
 8.5534985E-03 1.6029117E+05 2.6595E+02 8.293E-04 9.185E+01 2.887E-04 2.314E+02
 9.0863188E-03 1.7027613E+05 2.7411E+02 8.046E-04 9.469E+01 2.801E-04 2.385E+02
 9.6352402E-03 1.8056283E+05 2.8227E+02 7.814E-04 9.753E+01 2.720E-04 2.456E+02
 1.0200263E-02 1.9115126E+05 2.9043E+02 7.594E-04 1.004E+02 2.643E-04 2.526E+02
 1.0781386E-02 2.0204142E+05 2.9858E+02 7.387E-04 1.032E+02 2.571E-04 2.597E+02
 1.1378611E-02 2.1323331E+05 3.0674E+02 7.190E-04 1.060E+02 2.502E-04 2.668E+02
 1.1991937E-02 2.2472694E+05 3.1490E+02 7.004E-04 1.089E+02 2.437E-04 2.739E+02
 1.2621364E-02 2.3652230E+05 3.2306E+02 6.827E-04 1.117E+02 2.376E-04 2.810E+02
 1.3266892E-02 2.4861940E+05 3.3121E+02 6.659E-04 1.146E+02 2.317E-04 2.880E+02
 1.3928522E-02 2.6101823E+05 3.3937E+02 6.499E-04 1.174E+02 2.261E-04 2.951E+02
 1.4606253E-02 2.7371879E+05 3.4753E+02 6.346E-04 1.202E+02 2.208E-04 3.022E+02
 1.5300085E-02 2.8672109E+05 3.5569E+02 6.201E-04 1.231E+02 2.157E-04 3.093E+02
