   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  4180.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  1.0428326E-03  5.1696E+04  1.5000E+01  8.2804E-04
          50  1.0835254E-03  5.0709E+04  1.5000E+01  8.1224E-04
         100  1.2782429E-03  4.6676E+04  1.5000E+01  7.4764E-04
         150  1.4890643E-03  4.3246E+04  1.5000E+01  6.9269E-04
         200  1.7159746E-03  4.0288E+04  1.5000E+01  6.4532E-04
         250  1.9589775E-03  3.7710E+04  1.5000E+01  6.0403E-04
         300  2.2180195E-03  3.5442E+04  1.5000E+01  5.6770E-04
         350  2.4932325E-03  3.3429E+04  1.5000E+01  5.3546E-04
         400  2.7845562E-03  3.1632E+04  1.5000E+01  5.0667E-04
         450  3.0919791E-03  3.0017E+04  1.5000E+01  4.8080E-04
         500  3.4154994E-03  2.8558E+04  1.5000E+01  4.5743E-04
         550  3.7551175E-03  2.7233E+04  1.5000E+01  4.3621E-04
         600  4.1108341E-03  2.6026E+04  1.5000E+01  4.1687E-04
         650  4.4826497E-03  2.4921E+04  1.5000E+01  3.9917E-04
         700  4.8705648E-03  2.3905E+04  1.5000E+01  3.8291E-04
         750  5.2745797E-03  2.2969E+04  1.5000E+01  3.6791E-04
         800  5.6946949E-03  2.2103E+04  1.5000E+01  3.5405E-04
         850  6.1309104E-03  2.1301E+04  1.5000E+01  3.4119E-04
         900  6.5832265E-03  2.0554E+04  1.5000E+01  3.2922E-04
         950  7.0516432E-03  1.9858E+04  1.5000E+01  3.1807E-04
        1000  7.5361607E-03  1.9207E+04  1.5000E+01  3.0765E-04
        1050  8.0367791E-03  1.8598E+04  1.5000E+01  2.9789E-04
        1100  8.5534985E-03  1.8026E+04  1.5000E+01  2.8873E-04
        1150  9.0863188E-03  1.7488E+04  1.5000E+01  2.8011E-04
        1200  9.6352402E-03  1.6981E+04  1.5000E+01  2.7200E-04
        1250  1.0200263E-02  1.6503E+04  1.5000E+01  2.6434E-04
        1300  1.0781386E-02  1.6051E+04  1.5000E+01  2.5710E-04
        1350  1.1378611E-02  1.5623E+04  1.5000E+01  2.5024E-04
        1400  1.1991937E-02  1.5217E+04  1.5000E+01  2.4374E-04
        1450  1.2621364E-02  1.4832E+04  1.5000E+01  2.3757E-04
        1500  1.3266892E-02  1.4466E+04  1.5000E+01  2.3171E-04
        1550  1.3928522E-02  1.4117E+04  1.5000E+01  2.2613E-04
        1600  1.4606253E-02  1.3785E+04  1.5000E+01  2.2081E-04
        1650  1.5300085E-02  1.3468E+04  1.5000E+01  2.1573E-04
        1700  1.6010018E-02  1.3166E+04  1.5000E+01  2.1089E-04
        1750  1.6736053E-02  1.2876E+04  1.5000E+01  2.0625E-04
        1800  1.7478189E-02  1.2600E+04  1.5000E+01  2.0182E-04
        1850  1.8236426E-02  1.2334E+04  1.5000E+01  1.9757E-04
        1900  1.9010764E-02  1.2080E+04  1.5000E+01  1.9349E-04
        1950  1.9801204E-02  1.1836E+04  1.5000E+01  1.8959E-04
        2000  2.0607745E-02  1.1602E+04  1.5000E+01  1.8583E-04
        2050  2.1430388E-02  1.1376E+04  1.5000E+01  1.8222E-04
        2100  2.2269132E-02  1.1160E+04  1.5000E+01  1.7875E-04
        2150  2.3123977E-02  1.0951E+04  1.5000E+01  1.7541E-04
        2200  2.3994923E-02  1.0750E+04  1.5000E+01  1.7220E-04
        2250  2.4881971E-02  1.0557E+04  1.5000E+01  1.6909E-04
        2300  2.5785120E-02  1.0370E+04  1.5000E+01  1.6610E-04
        2350  2.6704371E-02  1.0190E+04  1.5000E+01  1.6321E-04
        2400  2.7639723E-02  1.0015E+04  1.5000E+01  1.6042E-04
        2450  2.8591176E-02  9.8471E+03  1.5000E+01  1.5773E-04
        2500  2.9558730E-02  9.6843E+03  1.5000E+01  1.5512E-04
        2550  3.0542386E-02  9.5269E+03  1.5000E+01  1.5260E-04
        2600  3.1542144E-02  9.3745E+03  1.5000E+01  1.5016E-04
        2650  3.2558002E-02  9.2269E+03  1.5000E+01  1.4779E-04
        2700  3.3589962E-02  9.0838E+03  1.5000E+01  1.4550E-04
        2750  3.4638024E-02  8.9452E+03  1.5000E+01  1.4328E-04
        2800  3.5702186E-02  8.8107E+03  1.5000E+01  1.4113E-04
        2850  3.6782450E-02  8.6802E+03  1.5000E+01  1.3904E-04
        2900  3.7878816E-02  8.5535E+03  1.5000E+01  1.3701E-04
        2950  3.8991283E-02  8.4304E+03  1.5000E+01  1.3504E-04
        3000  4.0119851E-02  8.3109E+03  1.5000E+01  1.3312E-04
        3050  4.1264520E-02  8.1947E+03  1.5000E+01  1.3126E-04
        3100  4.2425291E-02  8.0816E+03  1.5000E+01  1.2945E-04
        3150  4.3602163E-02  7.9717E+03  1.5000E+01  1.2769E-04
        3200  4.4795137E-02  7.8647E+03  1.5000E+01  1.2597E-04
        3250  4.6004212E-02  7.7606E+03  1.5000E+01  1.2431E-04
        3300  4.7229388E-02  7.6592E+03  1.5000E+01  1.2268E-04
        3350  4.8470666E-02  7.5603E+03  1.5000E+01  1.2110E-04
        3400  4.9728045E-02  7.4641E+03  1.5000E+01  1.1956E-04
        3450  5.0994629E-02  7.3707E+03  1.5000E+01  1.1806E-04
        3500  5.2284124E-02  7.2791E+03  1.5000E+01  1.1659E-04
        3550  5.3589720E-02  7.1898E+03  1.5000E+01  1.1516E-04
        3600  5.4911418E-02  7.1027E+03  1.5000E+01  1.1377E-04
        3650  5.6249218E-02  7.0176E+03  1.5000E+01  1.1241E-04
        3700  5.7603119E-02  6.9346E+03  1.5000E+01  1.1108E-04
        3750  5.8973121E-02  6.8535E+03  1.5000E+01  1.0978E-04
        3800  6.0359224E-02  6.7743E+03  1.5000E+01  1.0851E-04
        3850  6.1761429E-02  6.6969E+03  1.5000E+01  1.0727E-04
        3900  6.3179735E-02  6.6212E+03  1.5000E+01  1.0606E-04
        3950  6.4614143E-02  6.5473E+03  1.5000E+01  1.0487E-04
        4000  6.6064652E-02  6.4749E+03  1.5000E+01  1.0371E-04
        4050  6.7531262E-02  6.4042E+03  1.5000E+01  1.0258E-04
        4100  6.9013974E-02  6.3349E+03  1.5000E+01  1.0147E-04
        4150  7.0512787E-02  6.2672E+03  1.5000E+01  1.0039E-04
        4200  7.2027701E-02  6.2009E+03  1.5000E+01  9.9324E-05
        4250  7.3558717E-02  6.1360E+03  1.5000E+01  9.8284E-05
        4300  7.5105835E-02  6.0724E+03  1.5000E+01  9.7266E-05
        4350  7.6669053E-02  6.0101E+03  1.5000E+01  9.6268E-05
        4400  7.8248373E-02  5.9491E+03  1.5000E+01  9.5291E-05
        4450  7.9843795E-02  5.8893E+03  1.5000E+01  9.4334E-05
        4500  8.1455317E-02  5.8307E+03  1.5000E+01  9.3395E-05
        4550  8.3082941E-02  5.7733E+03  1.5000E+01  9.2475E-05
        4600  8.4726667E-02  5.7170E+03  1.5000E+01  9.1573E-05
        4650  8.6386494E-02  5.6618E+03  1.5000E+01  9.0688E-05
        4700  8.8062422E-02  5.6076E+03  1.5000E+01  8.9821E-05
        4750  8.9754452E-02  5.5545E+03  1.5000E+01  8.8970E-05
        4800  9.1462583E-02  5.5023E+03  1.5000E+01  8.8134E-05
        4850  9.3186815E-02  5.4511E+03  1.5000E+01  8.7315E-05
        4900  9.4927149E-02  5.4009E+03  1.5000E+01  8.6510E-05
        4950  9.6683584E-02  5.3516E+03  1.5000E+01  8.5720E-05
        5000  9.8456121E-02  5.3032E+03  1.5000E+01  8.4944E-05
        5050  1.0025139E-01  5.2554E+03  1.5000E+01  8.4180E-05
        5100  1.0205619E-01  5.2087E+03  1.5000E+01  8.3432E-05
        5150  1.0387709E-01  5.1629E+03  1.5000E+01  8.2697E-05
        5200  1.0571409E-01  5.1178E+03  1.5000E+01  8.1975E-05
        5250  1.0756719E-01  5.0735E+03  1.5000E+01  8.1265E-05
        5300  1.0943639E-01  5.0299E+03  1.5000E+01  8.0568E-05
        5350  1.1132170E-01  4.9871E+03  1.5000E+01  7.9882E-05
        5400  1.1322311E-01  4.9451E+03  1.5000E+01  7.9208E-05
        5450  1.1514062E-01  4.9037E+03  1.5000E+01  7.8546E-05
