  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 9.95710E+02  vis= 7.97000E-04  sp_ht= 4.18000E+03
     prc(je)=    5.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     5 1.043E-03 9.285E+01 2.375E-03 2.590E+00 3.154E+01  8.280E-04
   100 1.278E-03 1.028E+02 2.145E-03 2.590E+00 3.500E+01  7.476E-04
   200 1.716E-03 1.191E+02 1.852E-03 2.590E+00 4.069E+01  6.453E-04
   300 2.218E-03 1.354E+02 1.629E-03 2.590E+00 4.637E+01  5.677E-04
   400 2.785E-03 1.517E+02 1.454E-03 2.590E+00 5.206E+01  5.067E-04
   500 3.415E-03 1.680E+02 1.313E-03 2.590E+00 5.775E+01  4.574E-04
   600 4.111E-03 1.844E+02 1.196E-03 2.590E+00 6.343E+01  4.169E-04
   700 4.871E-03 2.007E+02 1.099E-03 2.590E+00 6.912E+01  3.829E-04
   800 5.695E-03 2.170E+02 1.016E-03 2.590E+00 7.480E+01  3.540E-04
   900 6.583E-03 2.333E+02 9.453E-04 2.590E+00 8.049E+01  3.292E-04
  1000 7.536E-03 2.496E+02 8.835E-04 2.590E+00 8.617E+01  3.077E-04
  1100 8.553E-03 2.660E+02 8.293E-04 2.590E+00 9.185E+01  2.887E-04
  1200 9.635E-03 2.823E+02 7.814E-04 2.590E+00 9.753E+01  2.720E-04
  1300 1.078E-02 2.986E+02 7.387E-04 2.590E+00 1.032E+02  2.571E-04
  1400 1.199E-02 3.149E+02 7.004E-04 2.590E+00 1.089E+02  2.437E-04
  1500 1.327E-02 3.312E+02 6.659E-04 2.590E+00 1.146E+02  2.317E-04
  1600 1.461E-02 3.475E+02 6.346E-04 2.590E+00 1.202E+02  2.208E-04
  1700 1.601E-02 3.638E+02 6.062E-04 2.590E+00 1.259E+02  2.109E-04
  1800 1.748E-02 3.802E+02 5.802E-04 2.590E+00 1.316E+02  2.018E-04
  1900 1.901E-02 3.965E+02 5.563E-04 2.590E+00 1.373E+02  1.935E-04
  2000 2.061E-02 4.128E+02 5.343E-04 2.590E+00 1.429E+02  1.858E-04
  2100 2.227E-02 4.291E+02 5.140E-04 2.590E+00 1.486E+02  1.788E-04
