  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 9.95710E+02  vis= 7.97000E-04  sp_ht= 4.18000E+03
     prc(je)=    5.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 9.277E+01 2.377E-03 2.590E+00 3.151E+01  4.144E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
     1 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00  0.000E+00
     2 1.414E-09 9.451E-04 1.897E-04 6.301E-05 1.098E-04  0.000E+00
     3 3.871E-09 2.587E-03 5.194E-04 1.725E-04 3.006E-04  0.000E+00
     4 6.050E-09 4.043E-03 8.117E-04 2.695E-04 4.698E-04  0.000E+00
     5 8.425E-09 5.630E-03 1.130E-03 3.754E-04 6.543E-04  0.000E+00
     6 1.101E-08 7.361E-03 1.478E-03 4.907E-04 8.553E-04  0.000E+00
     7 1.384E-08 9.246E-03 1.856E-03 6.164E-04 1.074E-03  0.000E+00
     8 1.691E-08 1.130E-02 2.269E-03 7.535E-04 1.313E-03  0.000E+00
     9 2.026E-08 1.354E-02 2.719E-03 9.028E-04 1.574E-03  0.000E+00
    10 2.392E-08 1.598E-02 3.209E-03 1.066E-03 1.857E-03  0.000E+00
    11 2.790E-08 1.865E-02 3.744E-03 1.243E-03 2.167E-03  0.000E+00
    12 3.224E-08 2.155E-02 4.326E-03 1.437E-03 2.504E-03  0.000E+00
    13 3.698E-08 2.471E-02 4.961E-03 1.647E-03 2.871E-03  0.000E+00
    14 4.214E-08 2.816E-02 5.653E-03 1.877E-03 3.272E-03  0.000E+00
    15 4.776E-08 3.192E-02 6.408E-03 2.128E-03 3.709E-03  0.000E+00
    16 5.389E-08 3.601E-02 7.230E-03 2.401E-03 4.185E-03  0.000E+00
    17 6.057E-08 4.048E-02 8.126E-03 2.698E-03 4.703E-03  0.000E+00
    18 6.785E-08 4.534E-02 9.103E-03 3.023E-03 5.269E-03  0.000E+00
    19 7.579E-08 5.065E-02 1.017E-02 3.376E-03 5.885E-03  0.000E+00
    20 8.444E-08 5.643E-02 1.133E-02 3.762E-03 6.557E-03  0.000E+00
    21 9.387E-08 6.273E-02 1.259E-02 4.182E-03 7.289E-03  0.000E+00
