   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    2.0031937E-01 6.389E-03 1.500E+01 7.249E-04 1.470E+00 6.118E-04
    2.0525905E-01 6.450E-03 1.500E+01 7.371E-04 1.467E+00 6.273E-04
    2.2173304E-01 6.741E-03 1.500E+01 7.786E-04 1.463E+00 6.795E-04
    2.3897634E-01 7.060E-03 1.500E+01 8.214E-04 1.463E+00 7.330E-04
    2.5702473E-01 7.389E-03 1.500E+01 8.651E-04 1.463E+00 7.873E-04
    2.7589069E-01 7.716E-03 1.500E+01 9.098E-04 1.463E+00 8.425E-04
    2.9560674E-01 8.063E-03 1.500E+01 9.556E-04 1.462E+00 8.987E-04
    3.1618818E-01 8.409E-03 1.500E+01 1.003E-03 1.460E+00 9.561E-04
    3.3764594E-01 8.772E-03 1.500E+01 1.051E-03 1.458E+00 1.015E-03
    3.6004238E-01 9.155E-03 1.500E+01 1.100E-03 1.456E+00 1.075E-03
    3.8341084E-01 9.550E-03 1.500E+01 1.151E-03 1.453E+00 1.136E-03
    4.0778454E-01 9.960E-03 1.500E+01 1.203E-03 1.450E+00 1.200E-03
    4.3320038E-01 1.038E-02 1.500E+01 1.257E-03 1.447E+00 1.265E-03
    4.5969716E-01 1.082E-02 1.500E+01 1.313E-03 1.444E+00 1.331E-03
    4.8731546E-01 1.128E-02 1.500E+01 1.370E-03 1.440E+00 1.400E-03
    5.1609710E-01 1.176E-02 1.500E+01 1.429E-03 1.437E+00 1.470E-03
    5.4608473E-01 1.225E-02 1.500E+01 1.490E-03 1.434E+00 1.543E-03
    5.7732161E-01 1.276E-02 1.500E+01 1.553E-03 1.431E+00 1.617E-03
    6.0985155E-01 1.328E-02 1.500E+01 1.618E-03 1.428E+00 1.694E-03
    6.4371886E-01 1.383E-02 1.500E+01 1.684E-03 1.425E+00 1.773E-03
    6.7896839E-01 1.439E-02 1.500E+01 1.753E-03 1.422E+00 1.855E-03
    7.1564557E-01 1.497E-02 1.500E+01 1.824E-03 1.419E+00 1.938E-03
    7.5379638E-01 1.557E-02 1.500E+01 1.897E-03 1.417E+00 2.024E-03
    7.9346746E-01 1.619E-02 1.500E+01 1.972E-03 1.414E+00 2.113E-03
    8.3470605E-01 1.682E-02 1.500E+01 2.049E-03 1.411E+00 2.204E-03
    8.7756008E-01 1.748E-02 1.500E+01 2.129E-03 1.409E+00 2.298E-03
    9.2207813E-01 1.815E-02 1.500E+01 2.211E-03 1.407E+00 2.394E-03
    9.6830949E-01 1.885E-02 1.500E+01 2.296E-03 1.404E+00 2.493E-03
    1.0163042E+00 1.956E-02 1.500E+01 2.383E-03 1.402E+00 2.595E-03
    1.0661129E+00 2.030E-02 1.500E+01 2.472E-03 1.400E+00 2.700E-03
    1.1177871E+00 2.106E-02 1.500E+01 2.564E-03 1.398E+00 2.807E-03
    1.1713794E+00 2.184E-02 1.500E+01 2.659E-03 1.396E+00 2.918E-03
    1.2269432E+00 2.264E-02 1.500E+01 2.756E-03 1.394E+00 3.032E-03
    1.2845326E+00 2.346E-02 1.500E+01 2.857E-03 1.392E+00 3.148E-03
    1.3442024E+00 2.430E-02 1.500E+01 2.959E-03 1.390E+00 3.268E-03
    1.4060145E+00 2.517E-02 1.500E+01 3.065E-03 1.388E+00 3.391E-03
    1.4700343E+00 2.607E-02 1.500E+01 3.174E-03 1.387E+00 3.518E-03
    1.5363210E+00 2.699E-02 1.500E+01 3.285E-03 1.385E+00 3.647E-03
    1.6049347E+00 2.793E-02 1.500E+01 3.400E-03 1.384E+00 3.780E-03
    1.6759367E+00 2.890E-02 1.500E+01 3.517E-03 1.382E+00 3.917E-03
    1.7493892E+00 2.989E-02 1.500E+01 3.638E-03 1.381E+00 4.057E-03
    1.8253555E+00 3.091E-02 1.500E+01 3.762E-03 1.379E+00 4.201E-03
    1.9038999E+00 3.195E-02 1.500E+01 3.889E-03 1.378E+00 4.348E-03
    1.9850878E+00 3.302E-02 1.500E+01 4.019E-03 1.377E+00 4.500E-03
    2.0689856E+00 3.412E-02 1.500E+01 4.153E-03 1.375E+00 4.655E-03
    2.1556610E+00 3.525E-02 1.500E+01 4.290E-03 1.374E+00 4.814E-03
    2.2451827E+00 3.640E-02 1.500E+01 4.431E-03 1.373E+00 4.977E-03
    2.3376204E+00 3.758E-02 1.500E+01 4.575E-03 1.372E+00 5.143E-03
    2.4330452E+00 3.879E-02 1.500E+01 4.723E-03 1.371E+00 5.314E-03
    2.5315292E+00 4.003E-02 1.500E+01 4.874E-03 1.370E+00 5.489E-03
    2.6331458E+00 4.130E-02 1.500E+01 5.029E-03 1.369E+00 5.669E-03
    2.7379696E+00 4.259E-02 1.500E+01 5.188E-03 1.368E+00 5.852E-03
    2.8460763E+00 4.392E-02 1.500E+01 5.351E-03 1.367E+00 6.040E-03
    2.9575429E+00 4.528E-02 1.500E+01 5.518E-03 1.366E+00 6.233E-03
    3.0000000E+00 4.580E-02 1.500E+01 5.581E-03 1.366E+00 6.306E-03
