   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 2.0031937E-01 2.0202331E+05 6.9633E+02 2.467E-03 5.877E+02 3.117E-03 4.453E+02
 2.0525905E-01 2.0676815E+05 7.0806E+02 2.504E-03 6.025E+02 3.161E-03 4.620E+02
 2.2173304E-01 2.2259232E+05 7.4792E+02 2.504E-03 6.527E+02 3.145E-03 4.949E+02
 2.3897634E-01 2.3915546E+05 7.8898E+02 2.449E-03 7.041E+02 3.052E-03 5.161E+02
 2.5702473E-01 2.5649193E+05 8.3097E+02 2.393E-03 7.562E+02 2.963E-03 5.373E+02
 2.7589069E-01 2.7461371E+05 8.7390E+02 2.343E-03 8.092E+02 2.885E-03 5.602E+02
 2.9560674E-01 2.9355207E+05 9.1788E+02 2.299E-03 8.633E+02 2.818E-03 5.848E+02
 3.1618818E-01 3.1332167E+05 9.6296E+02 2.260E-03 9.184E+02 2.758E-03 6.110E+02
 3.3764594E-01 3.3393303E+05 1.0092E+03 2.225E-03 9.747E+02 2.705E-03 6.387E+02
 3.6004238E-01 3.5544604E+05 1.0567E+03 2.193E-03 1.032E+03 2.657E-03 6.677E+02
 3.8341084E-01 3.7789273E+05 1.1057E+03 2.163E-03 1.092E+03 2.613E-03 6.981E+02
 4.0778454E-01 4.0130501E+05 1.1560E+03 2.136E-03 1.152E+03 2.573E-03 7.299E+02
 4.3320038E-01 4.2571832E+05 1.2079E+03 2.110E-03 1.215E+03 2.535E-03 7.630E+02
 4.5969716E-01 4.5116993E+05 1.2613E+03 2.086E-03 1.279E+03 2.499E-03 7.972E+02
 4.8731546E-01 4.7769882E+05 1.3163E+03 2.062E-03 1.345E+03 2.465E-03 8.327E+02
 5.1609710E-01 5.0534517E+05 1.3731E+03 2.040E-03 1.412E+03 2.433E-03 8.694E+02
 5.4608473E-01 5.3414994E+05 1.4315E+03 2.018E-03 1.482E+03 2.403E-03 9.073E+02
 5.7732161E-01 5.6415468E+05 1.4918E+03 1.998E-03 1.554E+03 2.373E-03 9.466E+02
 6.0985155E-01 5.9540147E+05 1.5539E+03 1.978E-03 1.627E+03 2.345E-03 9.872E+02
 6.4371886E-01 6.2793289E+05 1.6180E+03 1.958E-03 1.703E+03 2.318E-03 1.029E+03
 6.7896839E-01 6.6179200E+05 1.6840E+03 1.939E-03 1.781E+03 2.292E-03 1.073E+03
 7.1564557E-01 6.9702244E+05 1.7520E+03 1.921E-03 1.862E+03 2.267E-03 1.117E+03
 7.5379638E-01 7.3366840E+05 1.8221E+03 1.903E-03 1.944E+03 2.243E-03 1.163E+03
 7.9346746E-01 7.7177464E+05 1.8943E+03 1.885E-03 2.029E+03 2.220E-03 1.211E+03
 8.3470605E-01 8.1138658E+05 1.9686E+03 1.868E-03 2.117E+03 2.197E-03 1.260E+03
 8.7756008E-01 8.5255023E+05 2.0452E+03 1.852E-03 2.207E+03 2.175E-03 1.311E+03
 9.2207813E-01 8.9531226E+05 2.1241E+03 1.836E-03 2.300E+03 2.153E-03 1.363E+03
 9.6830949E-01 9.3972003E+05 2.2053E+03 1.820E-03 2.395E+03 2.132E-03 1.417E+03
 1.0163042E+00 9.8582154E+05 2.2888E+03 1.804E-03 2.493E+03 2.112E-03 1.472E+03
 1.0661129E+00 1.0336655E+06 2.3748E+03 1.789E-03 2.593E+03 2.092E-03 1.529E+03
 1.1177871E+00 1.0833015E+06 2.4633E+03 1.774E-03 2.697E+03 2.073E-03 1.587E+03
 1.1713794E+00 1.1347798E+06 2.5542E+03 1.759E-03 2.803E+03 2.054E-03 1.648E+03
 1.2269432E+00 1.1881519E+06 2.6477E+03 1.744E-03 2.912E+03 2.035E-03 1.710E+03
 1.2845326E+00 1.2434697E+06 2.7439E+03 1.730E-03 3.024E+03 2.017E-03 1.773E+03
 1.3442024E+00 1.3007858E+06 2.8427E+03 1.716E-03 3.139E+03 1.999E-03 1.839E+03
 1.4060145E+00 1.3601597E+06 2.9442E+03 1.702E-03 3.257E+03 1.982E-03 1.906E+03
 1.4700343E+00 1.4216543E+06 3.0485E+03 1.689E-03 3.379E+03 1.965E-03 1.975E+03
 1.5363210E+00 1.4853262E+06 3.1556E+03 1.675E-03 3.503E+03 1.948E-03 2.046E+03
 1.6049347E+00 1.5512335E+06 3.2656E+03 1.662E-03 3.631E+03 1.932E-03 2.119E+03
 1.6759367E+00 1.6194349E+06 3.3786E+03 1.649E-03 3.763E+03 1.916E-03 2.193E+03
 1.7493892E+00 1.6899900E+06 3.4945E+03 1.637E-03 3.897E+03 1.900E-03 2.270E+03
 1.8253555E+00 1.7629598E+06 3.6136E+03 1.624E-03 4.035E+03 1.885E-03 2.349E+03
 1.9038999E+00 1.8384060E+06 3.7357E+03 1.612E-03 4.177E+03 1.869E-03 2.430E+03
 1.9850878E+00 1.9163915E+06 3.8609E+03 1.600E-03 4.322E+03 1.855E-03 2.513E+03
 2.0689856E+00 1.9969799E+06 3.9894E+03 1.588E-03 4.471E+03 1.840E-03 2.598E+03
 2.1556610E+00 2.0802364E+06 4.1212E+03 1.576E-03 4.624E+03 1.826E-03 2.685E+03
 2.2451827E+00 2.1662269E+06 4.2563E+03 1.565E-03 4.780E+03 1.812E-03 2.775E+03
 2.3376204E+00 2.2550184E+06 4.3947E+03 1.553E-03 4.940E+03 1.798E-03 2.866E+03
 2.4330452E+00 2.3466791E+06 4.5366E+03 1.542E-03 5.105E+03 1.784E-03 2.960E+03
 2.5315292E+00 2.4412784E+06 4.6820E+03 1.531E-03 5.273E+03 1.771E-03 3.057E+03
 2.6331458E+00 2.5388868E+06 4.8310E+03 1.520E-03 5.445E+03 1.758E-03 3.155E+03
 2.7379696E+00 2.6395758E+06 4.9836E+03 1.510E-03 5.622E+03 1.745E-03 3.257E+03
 2.8460763E+00 2.7434182E+06 5.1399E+03 1.499E-03 5.802E+03 1.732E-03 3.360E+03
 2.9575429E+00 2.8504881E+06 5.2999E+03 1.489E-03 5.987E+03 1.720E-03 3.466E+03
 3.0000000E+00 2.8912704E+06 5.3606E+03 1.485E-03 6.057E+03 1.715E-03 3.507E+03
