   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  2.0031937E-01  5.5312E+01  1.5000E+01  3.1173E-03
          50  2.0525905E-01  5.6081E+01  1.5000E+01  3.1607E-03
         100  2.2173304E-01  5.5795E+01  1.5000E+01  3.1446E-03
         150  2.3897634E-01  5.4157E+01  1.5000E+01  3.0522E-03
         200  2.5702473E-01  5.2577E+01  1.5000E+01  2.9632E-03
         250  2.7589069E-01  5.1194E+01  1.5000E+01  2.8853E-03
         300  2.9560674E-01  4.9997E+01  1.5000E+01  2.8178E-03
         350  3.1618818E-01  4.8941E+01  1.5000E+01  2.7583E-03
         400  3.3764594E-01  4.7998E+01  1.5000E+01  2.7051E-03
         450  3.6004238E-01  4.7143E+01  1.5000E+01  2.6570E-03
         500  3.8341084E-01  4.6363E+01  1.5000E+01  2.6130E-03
         550  4.0778454E-01  4.5646E+01  1.5000E+01  2.5726E-03
         600  4.3320038E-01  4.4977E+01  1.5000E+01  2.5349E-03
         650  4.5969716E-01  4.4344E+01  1.5000E+01  2.4992E-03
         700  4.8731546E-01  4.3744E+01  1.5000E+01  2.4654E-03
         750  5.1609710E-01  4.3174E+01  1.5000E+01  2.4333E-03
         800  5.4608473E-01  4.2631E+01  1.5000E+01  2.4026E-03
         850  5.7732161E-01  4.2111E+01  1.5000E+01  2.3734E-03
         900  6.0985155E-01  4.1613E+01  1.5000E+01  2.3453E-03
         950  6.4371886E-01  4.1134E+01  1.5000E+01  2.3183E-03
        1000  6.7896839E-01  4.0673E+01  1.5000E+01  2.2923E-03
        1050  7.1564557E-01  4.0229E+01  1.5000E+01  2.2673E-03
        1100  7.5379638E-01  3.9799E+01  1.5000E+01  2.2430E-03
        1150  7.9346746E-01  3.9382E+01  1.5000E+01  2.2196E-03
        1200  8.3470605E-01  3.8978E+01  1.5000E+01  2.1968E-03
        1250  8.7756008E-01  3.8586E+01  1.5000E+01  2.1747E-03
        1300  9.2207813E-01  3.8205E+01  1.5000E+01  2.1532E-03
        1350  9.6830949E-01  3.7834E+01  1.5000E+01  2.1323E-03
        1400  1.0163042E+00  3.7472E+01  1.5000E+01  2.1119E-03
        1450  1.0661129E+00  3.7119E+01  1.5000E+01  2.0920E-03
        1500  1.1177871E+00  3.6775E+01  1.5000E+01  2.0726E-03
        1550  1.1713794E+00  3.6439E+01  1.5000E+01  2.0537E-03
        1600  1.2269432E+00  3.6112E+01  1.5000E+01  2.0352E-03
        1650  1.2845326E+00  3.5790E+01  1.5000E+01  2.0171E-03
        1700  1.3442024E+00  3.5475E+01  1.5000E+01  1.9993E-03
        1750  1.4060145E+00  3.5166E+01  1.5000E+01  1.9819E-03
        1800  1.4700343E+00  3.4863E+01  1.5000E+01  1.9648E-03
        1850  1.5363210E+00  3.4566E+01  1.5000E+01  1.9481E-03
        1900  1.6049347E+00  3.4275E+01  1.5000E+01  1.9317E-03
        1950  1.6759367E+00  3.3991E+01  1.5000E+01  1.9157E-03
        2000  1.7493892E+00  3.3712E+01  1.5000E+01  1.9000E-03
        2050  1.8253555E+00  3.3438E+01  1.5000E+01  1.8845E-03
        2100  1.9038999E+00  3.3170E+01  1.5000E+01  1.8694E-03
        2150  1.9850878E+00  3.2906E+01  1.5000E+01  1.8546E-03
        2200  2.0689856E+00  3.2648E+01  1.5000E+01  1.8400E-03
        2250  2.1556610E+00  3.2394E+01  1.5000E+01  1.8257E-03
        2300  2.2451827E+00  3.2145E+01  1.5000E+01  1.8117E-03
        2350  2.3376204E+00  3.1900E+01  1.5000E+01  1.7979E-03
        2400  2.4330452E+00  3.1660E+01  1.5000E+01  1.7843E-03
        2450  2.5315292E+00  3.1423E+01  1.5000E+01  1.7710E-03
        2500  2.6331458E+00  3.1191E+01  1.5000E+01  1.7579E-03
        2550  2.7379696E+00  3.0963E+01  1.5000E+01  1.7451E-03
        2600  2.8460763E+00  3.0739E+01  1.5000E+01  1.7324E-03
        2650  2.9575429E+00  3.0518E+01  1.5000E+01  1.7200E-03
        2669  3.0000000E+00  3.0438E+01  1.5000E+01  1.7155E-03
