   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    2.0011240E-01 6.755E-03 1.500E+01 7.244E-04 1.468E+00 6.112E-04
    2.0129040E-01 7.924E-03 1.500E+01 7.271E-04 1.468E+00 6.147E-04
    2.0567160E-01 8.476E-03 1.500E+01 7.364E-04 1.457E+00 6.268E-04
    2.2085004E-01 9.076E-03 1.500E+01 7.702E-04 1.411E+00 6.711E-04
    2.4441942E-01 9.762E-03 1.500E+01 8.278E-04 1.376E+00 7.460E-04
    2.6960579E-01 1.040E-02 1.500E+01 8.898E-04 1.365E+00 8.254E-04
    2.9634761E-01 1.099E-02 1.500E+01 9.536E-04 1.360E+00 9.062E-04
    3.2464491E-01 1.165E-02 1.500E+01 1.019E-03 1.357E+00 9.884E-04
    3.5446709E-01 1.221E-02 1.500E+01 1.086E-03 1.355E+00 1.072E-03
    3.8578381E-01 1.287E-02 1.500E+01 1.155E-03 1.354E+00 1.158E-03
    4.1876898E-01 1.353E-02 1.500E+01 1.226E-03 1.352E+00 1.246E-03
    4.5338830E-01 1.418E-02 1.500E+01 1.300E-03 1.351E+00 1.336E-03
    4.8963214E-01 1.483E-02 1.500E+01 1.376E-03 1.349E+00 1.429E-03
    5.2751538E-01 1.549E-02 1.500E+01 1.454E-03 1.348E+00 1.524E-03
    5.6707416E-01 1.617E-02 1.500E+01 1.534E-03 1.346E+00 1.623E-03
    6.0836286E-01 1.688E-02 1.500E+01 1.617E-03 1.345E+00 1.724E-03
    6.5145124E-01 1.761E-02 1.500E+01 1.703E-03 1.343E+00 1.827E-03
    6.9642163E-01 1.838E-02 1.500E+01 1.791E-03 1.341E+00 1.934E-03
    7.4336606E-01 1.919E-02 1.500E+01 1.882E-03 1.340E+00 2.045E-03
    7.9238343E-01 2.004E-02 1.500E+01 1.976E-03 1.338E+00 2.159E-03
    8.4357667E-01 2.094E-02 1.500E+01 2.074E-03 1.336E+00 2.276E-03
    8.9704994E-01 2.187E-02 1.500E+01 2.175E-03 1.335E+00 2.398E-03
    9.5290610E-01 2.284E-02 1.500E+01 2.279E-03 1.333E+00 2.523E-03
    1.0112444E+00 2.385E-02 1.500E+01 2.387E-03 1.331E+00 2.653E-03
    1.0721589E+00 2.490E-02 1.500E+01 2.499E-03 1.329E+00 2.787E-03
    1.1357371E+00 2.599E-02 1.500E+01 2.614E-03 1.327E+00 2.926E-03
    1.2020596E+00 2.710E-02 1.500E+01 2.734E-03 1.326E+00 3.070E-03
    1.2712003E+00 2.824E-02 1.500E+01 2.858E-03 1.324E+00 3.218E-03
    1.3432270E+00 2.941E-02 1.500E+01 2.985E-03 1.322E+00 3.371E-03
    1.4182029E+00 3.060E-02 1.500E+01 3.117E-03 1.320E+00 3.528E-03
    1.4963183E+00 3.197E-02 1.500E+01 3.254E-03 1.319E+00 3.692E-03
    1.5780403E+00 3.344E-02 1.500E+01 3.395E-03 1.317E+00 3.861E-03
    1.6634660E+00 3.493E-02 1.500E+01 3.542E-03 1.315E+00 4.036E-03
    1.7526555E+00 3.645E-02 1.500E+01 3.694E-03 1.314E+00 4.218E-03
    1.8456628E+00 3.799E-02 1.500E+01 3.852E-03 1.312E+00 4.405E-03
    1.9425383E+00 3.955E-02 1.500E+01 4.014E-03 1.310E+00 4.600E-03
    2.0433318E+00 4.112E-02 1.500E+01 4.183E-03 1.309E+00 4.800E-03
    2.1481312E+00 4.283E-02 1.500E+01 4.356E-03 1.307E+00 5.007E-03
    2.2576022E+00 4.479E-02 1.500E+01 4.536E-03 1.305E+00 5.221E-03
    2.3720039E+00 4.677E-02 1.500E+01 4.723E-03 1.304E+00 5.444E-03
    2.4913708E+00 4.876E-02 1.500E+01 4.917E-03 1.302E+00 5.674E-03
    2.6157388E+00 5.077E-02 1.500E+01 5.117E-03 1.301E+00 5.912E-03
    2.7451475E+00 5.280E-02 1.500E+01 5.324E-03 1.299E+00 6.158E-03
    2.8796431E+00 5.484E-02 1.500E+01 5.537E-03 1.298E+00 6.412E-03
    3.0000000E+00 5.675E-02 1.500E+01 5.727E-03 1.297E+00 6.637E-03
