   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 2.0009426E-01 2.0180708E+05 6.9580E+02 2.560E-03 5.870E+02 3.210E-03 4.580E+02
 2.0182762E-01 2.0347207E+05 7.0023E+02 2.672E-03 5.926E+02 3.342E-03 4.808E+02
 2.0820428E-01 2.0959720E+05 7.1621E+02 2.520E-03 6.126E+02 3.165E-03 4.690E+02
 2.2608242E-01 2.2677013E+05 7.5845E+02 2.438E-03 6.655E+02 3.043E-03 4.878E+02
 2.4977884E-01 2.4953185E+05 8.1390E+02 2.400E-03 7.343E+02 2.965E-03 5.230E+02
 2.7491035E-01 2.7367205E+05 8.7087E+02 2.313E-03 8.043E+02 2.827E-03 5.471E+02
 3.0137550E-01 2.9909327E+05 9.2884E+02 2.241E-03 8.749E+02 2.717E-03 5.744E+02
 3.2906663E-01 3.2569213E+05 9.8766E+02 2.179E-03 9.459E+02 2.625E-03 6.045E+02
 3.5803611E-01 3.5351891E+05 1.0476E+03 2.128E-03 1.018E+03 2.551E-03 6.377E+02
 3.8814417E-01 3.8243935E+05 1.1086E+03 2.085E-03 1.091E+03 2.490E-03 6.732E+02
 4.1956017E-01 4.1261615E+05 1.1709E+03 2.047E-03 1.165E+03 2.437E-03 7.109E+02
 4.5220894E-01 4.4397708E+05 1.2346E+03 2.014E-03 1.241E+03 2.391E-03 7.505E+02
 4.8601586E-01 4.7645049E+05 1.2996E+03 1.986E-03 1.318E+03 2.352E-03 7.922E+02
 5.2103486E-01 5.1008816E+05 1.3660E+03 1.958E-03 1.396E+03 2.315E-03 8.347E+02
 5.5742536E-01 5.4504324E+05 1.4340E+03 1.934E-03 1.477E+03 2.282E-03 8.792E+02
 5.9520276E-01 5.8133051E+05 1.5038E+03 1.911E-03 1.559E+03 2.252E-03 9.254E+02
 6.3439697E-01 6.1897870E+05 1.5753E+03 1.890E-03 1.643E+03 2.224E-03 9.732E+02
 6.7505209E-01 6.5803018E+05 1.6488E+03 1.871E-03 1.730E+03 2.198E-03 1.023E+03
 7.1722322E-01 6.9853787E+05 1.7242E+03 1.853E-03 1.818E+03 2.174E-03 1.074E+03
 7.6097478E-01 7.4056364E+05 1.8018E+03 1.836E-03 1.909E+03 2.152E-03 1.127E+03
 8.0637978E-01 7.8417764E+05 1.8815E+03 1.819E-03 2.003E+03 2.131E-03 1.181E+03
 8.5351680E-01 8.2945534E+05 1.9635E+03 1.804E-03 2.099E+03 2.111E-03 1.238E+03
 9.0246572E-01 8.7647346E+05 2.0480E+03 1.789E-03 2.198E+03 2.092E-03 1.296E+03
 9.5330577E-01 9.2530813E+05 2.1351E+03 1.775E-03 2.299E+03 2.073E-03 1.356E+03
 1.0061136E+00 9.7603293E+05 2.2248E+03 1.761E-03 2.404E+03 2.056E-03 1.418E+03
 1.0609616E+00 1.0287174E+06 2.3172E+03 1.747E-03 2.512E+03 2.039E-03 1.483E+03
 1.1179171E+00 1.0834263E+06 2.4125E+03 1.734E-03 2.623E+03 2.022E-03 1.549E+03
 1.1770424E+00 1.1402195E+06 2.5107E+03 1.722E-03 2.737E+03 2.007E-03 1.618E+03
 1.2383962E+00 1.1991531E+06 2.6118E+03 1.709E-03 2.855E+03 1.990E-03 1.687E+03
 1.3022329E+00 1.2604718E+06 2.7162E+03 1.697E-03 2.977E+03 1.975E-03 1.760E+03
 1.3688299E+00 1.3244418E+06 2.8244E+03 1.685E-03 3.103E+03 1.960E-03 1.836E+03
 1.4382563E+00 1.3911297E+06 2.9364E+03 1.673E-03 3.233E+03 1.946E-03 1.914E+03
 1.5105698E+00 1.4605908E+06 3.0523E+03 1.662E-03 3.368E+03 1.932E-03 1.995E+03
 1.5858192E+00 1.5328720E+06 3.1720E+03 1.651E-03 3.507E+03 1.918E-03 2.079E+03
 1.6640470E+00 1.6080142E+06 3.2957E+03 1.640E-03 3.650E+03 1.904E-03 2.165E+03
 1.7452942E+00 1.6860565E+06 3.4233E+03 1.629E-03 3.799E+03 1.891E-03 2.254E+03
 1.8296019E+00 1.7670387E+06 3.5547E+03 1.618E-03 3.951E+03 1.878E-03 2.346E+03
 1.9172817E+00 1.8512599E+06 3.6906E+03 1.607E-03 4.109E+03 1.865E-03 2.441E+03
 2.0088131E+00 1.9391809E+06 3.8315E+03 1.597E-03 4.272E+03 1.852E-03 2.540E+03
 2.1042254E+00 2.0308297E+06 3.9774E+03 1.587E-03 4.442E+03 1.840E-03 2.642E+03
 2.2035387E+00 2.1262255E+06 4.1283E+03 1.576E-03 4.617E+03 1.828E-03 2.747E+03
 2.3067737E+00 2.2253885E+06 4.2842E+03 1.566E-03 4.797E+03 1.815E-03 2.856E+03
 2.4139576E+00 2.3283444E+06 4.4450E+03 1.556E-03 4.984E+03 1.803E-03 2.969E+03
 2.5251237E+00 2.4351256E+06 4.6107E+03 1.547E-03 5.176E+03 1.792E-03 3.085E+03
 2.6405781E+00 2.5460259E+06 4.7817E+03 1.537E-03 5.374E+03 1.780E-03 3.204E+03
 2.7610187E+00 2.6617157E+06 4.9590E+03 1.527E-03 5.579E+03 1.769E-03 3.329E+03
 2.8864821E+00 2.7822302E+06 5.1425E+03 1.518E-03 5.791E+03 1.757E-03 3.457E+03
 3.0000000E+00 2.8912704E+06 5.3076E+03 1.510E-03 5.983E+03 1.748E-03 3.573E+03
