   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  2.0009426E-01  5.6955E+01  1.5000E+01  3.2100E-03
          50  2.0182762E-01  5.9301E+01  1.5000E+01  3.3422E-03
         100  2.0820428E-01  5.6158E+01  1.5000E+01  3.1650E-03
         150  2.2608242E-01  5.3987E+01  1.5000E+01  3.0427E-03
         200  2.4977884E-01  5.2605E+01  1.5000E+01  2.9648E-03
         250  2.7491035E-01  5.0168E+01  1.5000E+01  2.8274E-03
         300  3.0137550E-01  4.8201E+01  1.5000E+01  2.7166E-03
         350  3.2906663E-01  4.6584E+01  1.5000E+01  2.6254E-03
         400  3.5803611E-01  4.5269E+01  1.5000E+01  2.5513E-03
         450  3.8814417E-01  4.4176E+01  1.5000E+01  2.4897E-03
         500  4.1956017E-01  4.3239E+01  1.5000E+01  2.4369E-03
         550  4.5220894E-01  4.2424E+01  1.5000E+01  2.3910E-03
         600  4.8601586E-01  4.1728E+01  1.5000E+01  2.3518E-03
         650  5.2103486E-01  4.1068E+01  1.5000E+01  2.3146E-03
         700  5.5742536E-01  4.0483E+01  1.5000E+01  2.2816E-03
         750  5.9520276E-01  3.9949E+01  1.5000E+01  2.2515E-03
         800  6.3439697E-01  3.9459E+01  1.5000E+01  2.2239E-03
         850  6.7505209E-01  3.9005E+01  1.5000E+01  2.1983E-03
         900  7.1722322E-01  3.8581E+01  1.5000E+01  2.1744E-03
         950  7.6097478E-01  3.8184E+01  1.5000E+01  2.1520E-03
        1000  8.0637978E-01  3.7809E+01  1.5000E+01  2.1309E-03
        1050  8.5351680E-01  3.7452E+01  1.5000E+01  2.1108E-03
        1100  9.0246572E-01  3.7112E+01  1.5000E+01  2.0916E-03
        1150  9.5330577E-01  3.6787E+01  1.5000E+01  2.0733E-03
        1200  1.0061136E+00  3.6474E+01  1.5000E+01  2.0556E-03
        1250  1.0609616E+00  3.6172E+01  1.5000E+01  2.0386E-03
        1300  1.1179171E+00  3.5880E+01  1.5000E+01  2.0222E-03
        1350  1.1770424E+00  3.5606E+01  1.5000E+01  2.0067E-03
        1400  1.2383962E+00  3.5315E+01  1.5000E+01  1.9903E-03
        1450  1.3022329E+00  3.5046E+01  1.5000E+01  1.9752E-03
        1500  1.3688299E+00  3.4784E+01  1.5000E+01  1.9604E-03
        1550  1.4382563E+00  3.4528E+01  1.5000E+01  1.9460E-03
        1600  1.5105698E+00  3.4276E+01  1.5000E+01  1.9318E-03
        1650  1.5858192E+00  3.4030E+01  1.5000E+01  1.9179E-03
        1700  1.6640470E+00  3.3789E+01  1.5000E+01  1.9043E-03
        1750  1.7452942E+00  3.3552E+01  1.5000E+01  1.8910E-03
        1800  1.8296019E+00  3.3321E+01  1.5000E+01  1.8779E-03
        1850  1.9172817E+00  3.3093E+01  1.5000E+01  1.8651E-03
        1900  2.0088131E+00  3.2868E+01  1.5000E+01  1.8524E-03
        1950  2.1042254E+00  3.2645E+01  1.5000E+01  1.8399E-03
        2000  2.2035387E+00  3.2427E+01  1.5000E+01  1.8276E-03
        2050  2.3067737E+00  3.2211E+01  1.5000E+01  1.8154E-03
        2100  2.4139576E+00  3.2000E+01  1.5000E+01  1.8035E-03
        2150  2.5251237E+00  3.1792E+01  1.5000E+01  1.7918E-03
        2200  2.6405781E+00  3.1586E+01  1.5000E+01  1.7802E-03
        2250  2.7610187E+00  3.1384E+01  1.5000E+01  1.7688E-03
        2300  2.8864821E+00  3.1183E+01  1.5000E+01  1.7575E-03
        2344  3.0000000E+00  3.1012E+01  1.5000E+01  1.7478E-03
